addr	name	token	type	method	body_bytes	ranges
0x1000a8e00	SDV_StardewValley_CloudSync_SyncTask_060032e0	0x060032e0	StardewValley.CloudSync	SyncTask	2164	11
0x10179e528	SDV_StardewValley_CloudSync_GatherSyncOps_060032e1	0x060032e1	StardewValley.CloudSync	GatherSyncOps	2196	4
0x10179edd0	SDV_StardewValley_CloudSync_ReadSyncronizedState_060032e2	0x060032e2	StardewValley.CloudSync	ReadSyncronizedState	248	2
0x10179eed0	SDV_StardewValley_CloudSync_WriteSyncronizedState_060032e3	0x060032e3	StardewValley.CloudSync	WriteSyncronizedState	224	1
0x10179efb0	SDV_StardewValley_CloudSync_DeleteSyncronizedState_060032e4	0x060032e4	StardewValley.CloudSync	DeleteSyncronizedState	180	1
0x1000a98e0	SDV_StardewValley_CloudSync_UploadToCloud_060032e5	0x060032e5	StardewValley.CloudSync	UploadToCloud	2192	2
0x10179f064	SDV_StardewValley_CloudSync_SafeDelete_060032e6	0x060032e6	StardewValley.CloudSync	SafeDelete	80	1
0x10179f0d0	SDV_StardewValley_CloudSync_CompressSave_060032e7	0x060032e7	StardewValley.CloudSync	CompressSave	1248	7
0x1000aa240	SDV_StardewValley_CloudSync_DownloadCloudSave_060032e8	0x060032e8	StardewValley.CloudSync	DownloadCloudSave	2004	5
0x10179f608	SDV_StardewValley_CloudSync_GetTimestamp_060032e9	0x060032e9	StardewValley.CloudSync	GetTimestamp	84	1
0x10179f65c	SDV_StardewValley_CloudSync_GetLocalSaves_060032ea	0x060032ea	StardewValley.CloudSync	GetLocalSaves	856	1
0x10179f9c0	SDV_StardewValley_CloudSync_GetDbAndZoneId_060032eb	0x060032eb	StardewValley.CloudSync	GetDbAndZoneId	240	1
0x10179fab0	SDV_StardewValley_CloudSync_QureryCloudSaves_060032ec	0x060032ec	StardewValley.CloudSync	QureryCloudSaves	872	3
0x1000aaba0	SDV_StardewValley_CloudSync_DeleteCloudSaves_060032ed	0x060032ed	StardewValley.CloudSync	DeleteCloudSaves	4384	10
0x10179fec0	SDV_StardewValley_CloudSync_DeleteLocalSave_060032ee	0x060032ee	StardewValley.CloudSync	DeleteLocalSave	152	1
0x10179ff84	SDV_StardewValley_CloudSync_GetSaveInfoAndFarmer_060032ef	0x060032ef	StardewValley.CloudSync	GetSaveInfoAndFarmer	312	1
0x1017a00bc	SDV_StardewValley_CloudSync_GetInfoAndFarmerFromTitle_060032f0	0x060032f0	StardewValley.CloudSync	GetInfoAndFarmerFromTitle	304	1
0x1017a01ec	SDV_StardewValley_CloudSync_GetNameAndSeedFromTitle_060032f1	0x060032f1	StardewValley.CloudSync	GetNameAndSeedFromTitle	260	2
0x1017a0308	SDV_StardewValley_CloudSync__ctor_060032f2	0x060032f2	StardewValley.CloudSync	.ctor	296	1
0x101a3cea8	SDV_StardewValley_Util_CloneExtensions_IsPrimitive_06004324	0x06004324	StardewValley.Util.CloneExtensions	IsPrimitive	172	1
0x101a3cf54	SDV_StardewValley_Util_CloneExtensions_DeepClone_06004325	0x06004325	StardewValley.Util.CloneExtensions	DeepClone	100	1
0x101a3cfb8	SDV_StardewValley_Util_CloneExtensions_DeepCloneT_06004326	0x06004326	StardewValley.Util.CloneExtensions	DeepCloneT	160	1
0x101a3d058	SDV_StardewValley_Util_CloneExtensions_DeepCloneObject_06004327	0x06004327	StardewValley.Util.CloneExtensions	DeepCloneObject	160	1
0x101a3d0f8	SDV_StardewValley_Util_CloneExtensions_InternalCopy_06004328	0x06004328	StardewValley.Util.CloneExtensions	InternalCopy	704	2
0x101a3d3c4	SDV_StardewValley_Util_CloneExtensions_RecursiveCopyBaseTypePrivateFields_06004329	0x06004329	StardewValley.Util.CloneExtensions	RecursiveCopyBaseTypePrivateFields	384	2
0x101a3d558	SDV_StardewValley_Util_CloneExtensions_CopyFields_0600432a	0x0600432a	StardewValley.Util.CloneExtensions	CopyFields	312	1
0x101a3d6bc	SDV_StardewValley_Util_CloneExtensions_Copy_0600432b	0x0600432b	StardewValley.Util.CloneExtensions	Copy	172	1
0x101a3d768	SDV_StardewValley_Util_CloneExtensions_ForEach_0600432c	0x0600432c	StardewValley.Util.CloneExtensions	ForEach	248	1
0x101a3d860	SDV_StardewValley_Util_CloneExtensions__cctor_0600432d	0x0600432d	StardewValley.Util.CloneExtensions	.cctor	120	1
0x101a59814	SDV_StardewValley_Tools_MagnifyingGlass_GetOneNew_060043b8	0x060043b8	StardewValley.Tools.MagnifyingGlass	GetOneNew	108	1
0x101a59880	SDV_StardewValley_Tools_MagnifyingGlass__ctor_060043b9	0x060043b9	StardewValley.Tools.MagnifyingGlass	.ctor	56	1
0x101ab44bc	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_IsEnterButtonAssignmentFlipped_060046be	0x060046be	StardewValley.SDKs.GameCenter.GameCenterHelper	get_IsEnterButtonAssignmentFlipped	8	1
0x101ab44c4	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_IsJapaneseRegionRelease_060046bf	0x060046bf	StardewValley.SDKs.GameCenter.GameCenterHelper	get_IsJapaneseRegionRelease	8	1
0x101ab44cc	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_EarlyInitialize_060046c0	0x060046c0	StardewValley.SDKs.GameCenter.GameCenterHelper	EarlyInitialize	4	1
0x1000db8c0	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_Initialize_060046c1	0x060046c1	StardewValley.SDKs.GameCenter.GameCenterHelper	Initialize	52	1
0x101ab44d0	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_RetroactiveAchievementsAllowed_060046c2	0x060046c2	StardewValley.SDKs.GameCenter.GameCenterHelper	RetroactiveAchievementsAllowed	8	1
0x1000db900	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_SubmitLeaderboardScore_060046c3	0x060046c3	StardewValley.SDKs.GameCenter.GameCenterHelper	SubmitLeaderboardScore	124	1
0x101ab44d8	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_GetAchievement_060046c4	0x060046c4	StardewValley.SDKs.GameCenter.GameCenterHelper	GetAchievement	4	1
0x101ab44dc	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_ResetAchievements_060046c5	0x060046c5	StardewValley.SDKs.GameCenter.GameCenterHelper	ResetAchievements	4	1
0x1000db980	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_Update_060046c6	0x060046c6	StardewValley.SDKs.GameCenter.GameCenterHelper	Update	52	1
0x1000db9c0	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_Shutdown_060046c7	0x060046c7	StardewValley.SDKs.GameCenter.GameCenterHelper	Shutdown	52	1
0x101ab44e0	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_DebugInfo_060046c8	0x060046c8	StardewValley.SDKs.GameCenter.GameCenterHelper	DebugInfo	4	1
0x101ab44e4	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_FilterDirtyWords_060046c9	0x060046c9	StardewValley.SDKs.GameCenter.GameCenterHelper	FilterDirtyWords	8	1
0x101ab44ec	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_Name_060046ca	0x060046ca	StardewValley.SDKs.GameCenter.GameCenterHelper	get_Name	16	1
0x101ab4510	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_Networking_060046cb	0x060046cb	StardewValley.SDKs.GameCenter.GameCenterHelper	get_Networking	16	1
0x101ab4534	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_ConnectionFinished_060046cc	0x060046cc	StardewValley.SDKs.GameCenter.GameCenterHelper	get_ConnectionFinished	16	1
0x101ab4558	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_ConnectionProgress_060046cd	0x060046cd	StardewValley.SDKs.GameCenter.GameCenterHelper	get_ConnectionProgress	16	1
0x101ab457c	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper_get_HasOverlay_060046ce	0x060046ce	StardewValley.SDKs.GameCenter.GameCenterHelper	get_HasOverlay	8	1
0x101ab4584	SDV_StardewValley_SDKs_GameCenter_GameCenterHelper__ctor_060046cf	0x060046cf	StardewValley.SDKs.GameCenter.GameCenterHelper	.ctor	124	1
0x101b420a0	SDV_StardewValley_Network_LoopbackClient__ctor_06004b85	0x06004b85	StardewValley.Network.LoopbackClient	.ctor	444	1
0x101b4225c	SDV_StardewValley_Network_LoopbackClient_get_id_06004b86	0x06004b86	StardewValley.Network.LoopbackClient	get_id	16	1
0x101b42280	SDV_StardewValley_Network_LoopbackClient_get_isConnected_06004b87	0x06004b87	StardewValley.Network.LoopbackClient	get_isConnected	24	1
0x101b422ac	SDV_StardewValley_Network_LoopbackClient_getUserID_06004b88	0x06004b88	StardewValley.Network.LoopbackClient	getUserID	64	1
0x101b422ec	SDV_StardewValley_Network_LoopbackClient_GetPingToHost_06004b89	0x06004b89	StardewValley.Network.LoopbackClient	GetPingToHost	8	1
0x101b422f4	SDV_StardewValley_Network_LoopbackClient_getHostUserName_06004b8a	0x06004b8a	StardewValley.Network.LoopbackClient	getHostUserName	64	1
0x101b42334	SDV_StardewValley_Network_LoopbackClient_connectImpl_06004b8b	0x06004b8b	StardewValley.Network.LoopbackClient	connectImpl	264	2
0x101b42454	SDV_StardewValley_Network_LoopbackClient_disconnect_06004b8c	0x06004b8c	StardewValley.Network.LoopbackClient	disconnect	384	3
0x101b425ec	SDV_StardewValley_Network_LoopbackClient_validateProtocol_06004b8d	0x06004b8d	StardewValley.Network.LoopbackClient	validateProtocol	64	1
0x101b4262c	SDV_StardewValley_Network_LoopbackClient_receiveMessagesImpl_06004b8e	0x06004b8e	StardewValley.Network.LoopbackClient	receiveMessagesImpl	468	5
0x101b42848	SDV_StardewValley_Network_LoopbackClient_sendMessage_06004b8f	0x06004b8f	StardewValley.Network.LoopbackClient	sendMessage	100	1
0x101b428c0	SDV_StardewValley_Network_LoopbackClient_serverMessage_06004b90	0x06004b90	StardewValley.Network.LoopbackClient	serverMessage	304	2
0x101b42a2c	SDV_StardewValley_Network_LoopbackClient_serverDisconnect_06004b91	0x06004b91	StardewValley.Network.LoopbackClient	serverDisconnect	140	1
0x101b42ab8	SDV_StardewValley_Network_LoopbackClient_serverKicked_06004b92	0x06004b92	StardewValley.Network.LoopbackClient	serverKicked	100	1
0x101b42b1c	SDV_StardewValley_Network_LoopbackServer_get_connectionsCount_06004b93	0x06004b93	StardewValley.Network.LoopbackServer	get_connectionsCount	20	1
0x101b42b50	SDV_StardewValley_Network_LoopbackServer_get_Instance_06004b94	0x06004b94	StardewValley.Network.LoopbackServer	get_Instance	68	1
0x101b42b94	SDV_StardewValley_Network_LoopbackServer_set_Instance_06004b95	0x06004b95	StardewValley.Network.LoopbackServer	set_Instance	76	1
0x101b42be0	SDV_StardewValley_Network_LoopbackServer__ctor_06004b96	0x06004b96	StardewValley.Network.LoopbackServer	.ctor	632	1
0x101b42e58	SDV_StardewValley_Network_LoopbackServer_isConnectionActive_06004b97	0x06004b97	StardewValley.Network.LoopbackServer	isConnectionActive	400	4
0x101b43000	SDV_StardewValley_Network_LoopbackServer_getUserId_06004b98	0x06004b98	StardewValley.Network.LoopbackServer	getUserId	204	3
0x101b430e0	SDV_StardewValley_Network_LoopbackServer_hasUserId_06004b99	0x06004b99	StardewValley.Network.LoopbackServer	hasUserId	532	3
0x101b4332c	SDV_StardewValley_Network_LoopbackServer_getUserName_06004b9a	0x06004b9a	StardewValley.Network.LoopbackServer	getUserName	204	3
0x101b4340c	SDV_StardewValley_Network_LoopbackServer_getPingToClient_06004b9b	0x06004b9b	StardewValley.Network.LoopbackServer	getPingToClient	160	2
0x101b434b8	SDV_StardewValley_Network_LoopbackServer_setPrivacy_06004b9c	0x06004b9c	StardewValley.Network.LoopbackServer	setPrivacy	4	1
0x101b434bc	SDV_StardewValley_Network_LoopbackServer_canAcceptIPConnections_06004b9d	0x06004b9d	StardewValley.Network.LoopbackServer	canAcceptIPConnections	8	1
0x101b434c4	SDV_StardewValley_Network_LoopbackServer_connected_06004b9e	0x06004b9e	StardewValley.Network.LoopbackServer	connected	16	1
0x101b434e8	SDV_StardewValley_Network_LoopbackServer_initialize_06004b9f	0x06004b9f	StardewValley.Network.LoopbackServer	initialize	44	1
0x101b43514	SDV_StardewValley_Network_LoopbackServer_stopServer_06004ba0	0x06004ba0	StardewValley.Network.LoopbackServer	stopServer	904	9
0x101b4398c	SDV_StardewValley_Network_LoopbackServer_receiveMessages_06004ba1	0x06004ba1	StardewValley.Network.LoopbackServer	receiveMessages	2348	11
0x101b4439c	SDV_StardewValley_Network_LoopbackServer_kick_06004ba2	0x06004ba2	StardewValley.Network.LoopbackServer	kick	248	2
0x101b444a0	SDV_StardewValley_Network_LoopbackServer_playerDisconnected_06004ba3	0x06004ba3	StardewValley.Network.LoopbackServer	playerDisconnected	300	2
0x101b445d8	SDV_StardewValley_Network_LoopbackServer_parseDataMessageFromClient_06004ba4	0x06004ba4	StardewValley.Network.LoopbackServer	parseDataMessageFromClient	772	2
0x101b448f4	SDV_StardewValley_Network_LoopbackServer_sendMessage_06004ba5	0x06004ba5	StardewValley.Network.LoopbackServer	sendMessage	244	2
0x101b449f4	SDV_StardewValley_Network_LoopbackServer_sendMessage_06004ba6	0x06004ba6	StardewValley.Network.LoopbackServer	sendMessage	108	1
0x101b44a60	SDV_StardewValley_Network_LoopbackServer_setLobbyData_06004ba7	0x06004ba7	StardewValley.Network.LoopbackServer	setLobbyData	4	1
0x101b44a64	SDV_StardewValley_Network_LoopbackServer_clientConnect_06004ba8	0x06004ba8	StardewValley.Network.LoopbackServer	clientConnect	208	2
0x101b44b4c	SDV_StardewValley_Network_LoopbackServer_clientMessage_06004ba9	0x06004ba9	StardewValley.Network.LoopbackServer	clientMessage	432	2
0x101b44d38	SDV_StardewValley_Network_LoopbackServer_clientDisconnect_06004baa	0x06004baa	StardewValley.Network.LoopbackServer	clientDisconnect	252	3
0x101df6714	SDV_StardewValley_Menus_CoopGameMenu__ctor_06005d9b	0x06005d9b	StardewValley.Menus.CoopGameMenu	.ctor	412	1
0x101df68b0	SDV_StardewValley_Menus_CoopGameMenu_readyToClose_06005d9c	0x06005d9c	StardewValley.Menus.CoopGameMenu	readyToClose	120	1
0x101df693c	SDV_StardewValley_Menus_CoopGameMenu_hasDeleteButtons_06005d9d	0x06005d9d	StardewValley.Menus.CoopGameMenu	hasDeleteButtons	8	1
0x101df6944	SDV_StardewValley_Menus_CoopGameMenu_get_MenuSlots_06005d9e	0x06005d9e	StardewValley.Menus.CoopGameMenu	get_MenuSlots	36	1
0x101df697c	SDV_StardewValley_Menus_CoopGameMenu_set_MenuSlots_06005d9f	0x06005d9f	StardewValley.Menus.CoopGameMenu	set_MenuSlots	64	1
0x101df69d0	SDV_StardewValley_Menus_CoopGameMenu_startListPopulation_06005da0	0x06005da0	StardewValley.Menus.CoopGameMenu	startListPopulation	4	1
0x101df69d4	SDV_StardewValley_Menus_CoopGameMenu_connectionFinished_06005da1	0x06005da1	StardewValley.Menus.CoopGameMenu	connectionFinished	932	5
0x101df6da8	SDV_StardewValley_Menus_CoopGameMenu_update_06005da2	0x06005da2	StardewValley.Menus.CoopGameMenu	update	260	3
0x101df6ec0	SDV_StardewValley_Menus_CoopGameMenu_gameWindowSizeChanged_06005da3	0x06005da3	StardewValley.Menus.CoopGameMenu	gameWindowSizeChanged	4	1
0x101df6ec4	SDV_StardewValley_Menus_CoopGameMenu_saveFileScanComplete_06005da4	0x06005da4	StardewValley.Menus.CoopGameMenu	saveFileScanComplete	408	3
0x101df7074	SDV_StardewValley_Menus_CoopGameMenu_readLobbyFarmData_06005da5	0x06005da5	StardewValley.Menus.CoopGameMenu	readLobbyFarmData	776	5
0x101df73ac	SDV_StardewValley_Menus_CoopGameMenu_checkFriendFarmCompatibility_06005da6	0x06005da6	StardewValley.Menus.CoopGameMenu	checkFriendFarmCompatibility	92	1
0x100121a50	SDV_StardewValley_Menus_CoopGameMenu_onLobbyUpdate_06005da7	0x06005da7	StardewValley.Menus.CoopGameMenu	onLobbyUpdate	1884	3
0x101df741c	SDV_StardewValley_Menus_CoopGameMenu_addSaveFiles_06005da8	0x06005da8	StardewValley.Menus.CoopGameMenu	addSaveFiles	456	1
0x101df75e4	SDV_StardewValley_Menus_CoopGameMenu_setMenu_06005da9	0x06005da9	StardewValley.Menus.CoopGameMenu	setMenu	292	1
0x101df7708	SDV_StardewValley_Menus_CoopGameMenu_enterIPPressed_06005daa	0x06005daa	StardewValley.Menus.CoopGameMenu	enterIPPressed	388	1
0x101df788c	SDV_StardewValley_Menus_CoopGameMenu_enterInviteCodePressed_06005dab	0x06005dab	StardewValley.Menus.CoopGameMenu	enterInviteCodePressed	484	2
0x101df7a7c	SDV_StardewValley_Menus_CoopGameMenu_receiveLeftClick_06005dac	0x06005dac	StardewValley.Menus.CoopGameMenu	receiveLeftClick	248	1
0x101df7b94	SDV_StardewValley_Menus_CoopGameMenu_performHoverAction_06005dad	0x06005dad	StardewValley.Menus.CoopGameMenu	performHoverAction	184	2
0x101df7c64	SDV_StardewValley_Menus_CoopGameMenu_getStatusText_06005dae	0x06005dae	StardewValley.Menus.CoopGameMenu	getStatusText	8	1
0x101df7c6c	SDV_StardewValley_Menus_CoopGameMenu_drawBefore_06005daf	0x06005daf	StardewValley.Menus.CoopGameMenu	drawBefore	32	1
0x101df7c8c	SDV_StardewValley_Menus_CoopGameMenu_drawExtra_06005db0	0x06005db0	StardewValley.Menus.CoopGameMenu	drawExtra	648	3
0x101df7f2c	SDV_StardewValley_Menus_CoopGameMenu_drawStatusText_06005db1	0x06005db1	StardewValley.Menus.CoopGameMenu	drawStatusText	868	4
0x101df82c8	SDV_StardewValley_Menus_CoopGameMenu_Dispose_06005db2	0x06005db2	StardewValley.Menus.CoopGameMenu	Dispose	236	3
0x101df83cc	SDV_StardewValley_Menus_CoopGameMenu__addSaveFiles_b__36_1_06005db3	0x06005db3	StardewValley.Menus.CoopGameMenu	<addSaveFiles>b__36_1	168	1
0x101df8474	SDV_StardewValley_Menus_CoopGameMenu__enterIPPressed_b__38_0_06005db4	0x06005db4	StardewValley.Menus.CoopGameMenu	<enterIPPressed>b__38_0	300	1
0x101df85c0	SDV_StardewValley_Menus_CoopGameMenu__enterInviteCodePressed_b__39_0_06005db5	0x06005db5	StardewValley.Menus.CoopGameMenu	<enterInviteCodePressed>b__39_0	308	3
0x101e00d88	SDV_StardewValley_Menus_HandPointer__ctor_06005dd6	0x06005dd6	StardewValley.Menus.HandPointer	.ctor	468	3
0x101e01204	SDV_StardewValley_Menus_HandPointer_start_06005dd7	0x06005dd7	StardewValley.Menus.HandPointer	start	68	1
0x101e0125c	SDV_StardewValley_Menus_HandPointer_update_06005dd8	0x06005dd8	StardewValley.Menus.HandPointer	update	564	6
0x101e01818	SDV_StardewValley_Menus_HandPointer_resetVector_06005dd9	0x06005dd9	StardewValley.Menus.HandPointer	resetVector	132	2
0x101e018a8	SDV_StardewValley_Menus_HandPointer_draw_06005dda	0x06005dda	StardewValley.Menus.HandPointer	draw	92	2
0x101e045b8	SDV_StardewValley_Menus_MobileColorPicker__ctor_06005dec	0x06005dec	StardewValley.Menus.MobileColorPicker	.ctor	1108	1
0x101e04a0c	SDV_StardewValley_Menus_MobileColorPicker__ctor_06005ded	0x06005ded	StardewValley.Menus.MobileColorPicker	.ctor	412	1
0x101e04ba8	SDV_StardewValley_Menus_MobileColorPicker_getSelectedColor_06005dee	0x06005dee	StardewValley.Menus.MobileColorPicker	getSelectedColor	184	2
0x101e04c6c	SDV_StardewValley_Menus_MobileColorPicker_click_06005def	0x06005def	StardewValley.Menus.MobileColorPicker	click	504	1
0x101e04e64	SDV_StardewValley_Menus_MobileColorPicker_receiveRightClick_06005df0	0x06005df0	StardewValley.Menus.MobileColorPicker	receiveRightClick	4	1
0x101e04e68	SDV_StardewValley_Menus_MobileColorPicker_changeHue_06005df1	0x06005df1	StardewValley.Menus.MobileColorPicker	changeHue	124	1
0x101e04f04	SDV_StardewValley_Menus_MobileColorPicker_changeSaturation_06005df2	0x06005df2	StardewValley.Menus.MobileColorPicker	changeSaturation	124	1
0x101e04fa0	SDV_StardewValley_Menus_MobileColorPicker_changeValue_06005df3	0x06005df3	StardewValley.Menus.MobileColorPicker	changeValue	124	1
0x101e0503c	SDV_StardewValley_Menus_MobileColorPicker_clickHeld_06005df4	0x06005df4	StardewValley.Menus.MobileColorPicker	clickHeld	384	3
0x101e051e0	SDV_StardewValley_Menus_MobileColorPicker_releaseClick_06005df5	0x06005df5	StardewValley.Menus.MobileColorPicker	releaseClick	84	2
0x101e05240	SDV_StardewValley_Menus_MobileColorPicker_draw_06005df6	0x06005df6	StardewValley.Menus.MobileColorPicker	draw	4288	3
0x101e06318	SDV_StardewValley_Menus_MobileColorPicker_containsPoint_06005df7	0x06005df7	StardewValley.Menus.MobileColorPicker	containsPoint	148	1
0x101e063ac	SDV_StardewValley_Menus_MobileColorPicker_setColor_06005df8	0x06005df8	StardewValley.Menus.MobileColorPicker	setColor	452	2
0x101e0657c	SDV_StardewValley_Menus_MobileColorPicker_RGBtoHSV_06005df9	0x06005df9	StardewValley.Menus.MobileColorPicker	RGBtoHSV	516	1
0x101e06780	SDV_StardewValley_Menus_MobileColorPicker_HsvToRgb_06005dfa	0x06005dfa	StardewValley.Menus.MobileColorPicker	HsvToRgb	496	1
0x101e069bc	SDV_StardewValley_Menus_MobileColorPicker_Clamp_06005dfb	0x06005dfb	StardewValley.Menus.MobileColorPicker	Clamp	24	1
0x101e069d4	SDV_StardewValley_Menus_MobileCustomizer_get_InTutorial_06005dfc	0x06005dfc	StardewValley.Menus.MobileCustomizer	get_InTutorial	72	1
0x101e06a30	SDV_StardewValley_Menus_MobileCustomizer_DyeItem_06005dfd	0x06005dfd	StardewValley.Menus.MobileCustomizer	DyeItem	144	2
0x101e06ae4	SDV_StardewValley_Menus_MobileCustomizer_GetOrCreateDisplayFarmer_06005dfe	0x06005dfe	StardewValley.Menus.MobileCustomizer	GetOrCreateDisplayFarmer	352	4
0x101e06c8c	SDV_StardewValley_Menus_MobileCustomizer_setUpSkinColorData_06005dff	0x06005dff	StardewValley.Menus.MobileCustomizer	setUpSkinColorData	392	1
0x101e06e14	SDV_StardewValley_Menus_MobileCustomizer_getSkinColor_06005e00	0x06005e00	StardewValley.Menus.MobileCustomizer	getSkinColor	232	2
0x101e06f14	SDV_StardewValley_Menus_MobileCustomizer_setUpShirts_06005e01	0x06005e01	StardewValley.Menus.MobileCustomizer	setUpShirts	200	1
0x101e06fdc	SDV_StardewValley_Menus_MobileCustomizer__ctor_06005e02	0x06005e02	StardewValley.Menus.MobileCustomizer	.ctor	3176	15
0x101e07e18	SDV_StardewValley_Menus_MobileCustomizer_snapToDefaultClickableComponent_06005e03	0x06005e03	StardewValley.Menus.MobileCustomizer	snapToDefaultClickableComponent	104	1
0x101e07e94	SDV_StardewValley_Menus_MobileCustomizer_setUpPositions_06005e04	0x06005e04	StardewValley.Menus.MobileCustomizer	setUpPositions	10300	16
0x101e0a838	SDV_StardewValley_Menus_MobileCustomizer_receiveLeftClick_06005e05	0x06005e05	StardewValley.Menus.MobileCustomizer	receiveLeftClick	6896	50
0x101e0cf20	SDV_StardewValley_Menus_MobileCustomizer_resetAllButtons_06005e06	0x06005e06	StardewValley.Menus.MobileCustomizer	resetAllButtons	892	2
0x101e0d2a8	SDV_StardewValley_Menus_MobileCustomizer_leftClickHeld_06005e07	0x06005e07	StardewValley.Menus.MobileCustomizer	leftClickHeld	2348	15
0x101e0dc88	SDV_StardewValley_Menus_MobileCustomizer_petHasChanges_06005e08	0x06005e08	StardewValley.Menus.MobileCustomizer	petHasChanges	164	2
0x101e0dd38	SDV_StardewValley_Menus_MobileCustomizer_releaseLeftClick_06005e09	0x06005e09	StardewValley.Menus.MobileCustomizer	releaseLeftClick	576	4
0x101e0e0a0	SDV_StardewValley_Menus_MobileCustomizer_optionButtonClick_06005e0a	0x06005e0a	StardewValley.Menus.MobileCustomizer	optionButtonClick	2488	14
0x101e0eb90	SDV_StardewValley_Menus_MobileCustomizer_update_06005e0b	0x06005e0b	StardewValley.Menus.MobileCustomizer	update	476	8
0x101e0edf0	SDV_StardewValley_Menus_MobileCustomizer_setSliderPositions_06005e0c	0x06005e0c	StardewValley.Menus.MobileCustomizer	setSliderPositions	88	2
0x101e0f214	SDV_StardewValley_Menus_MobileCustomizer_GetCurrentShirtIndex_06005e0d	0x06005e0d	StardewValley.Menus.MobileCustomizer	GetCurrentShirtIndex	172	2
0x101e0f2cc	SDV_StardewValley_Menus_MobileCustomizer_GetCurrentPantIndex_06005e0e	0x06005e0e	StardewValley.Menus.MobileCustomizer	GetCurrentPantIndex	172	2
0x101e0f384	SDV_StardewValley_Menus_MobileCustomizer_GetCurrentHairIndex_06005e0f	0x06005e0f	StardewValley.Menus.MobileCustomizer	GetCurrentHairIndex	156	2
0x101e0f42c	SDV_StardewValley_Menus_MobileCustomizer_SetCurrentHairIndex_06005e10	0x06005e10	StardewValley.Menus.MobileCustomizer	SetCurrentHairIndex	260	2
0x101e0f53c	SDV_StardewValley_Menus_MobileCustomizer_selectionClick_06005e11	0x06005e11	StardewValley.Menus.MobileCustomizer	selectionClick	100	2
0x101e0fa30	SDV_StardewValley_Menus_MobileCustomizer_canLeaveMenu_06005e12	0x06005e12	StardewValley.Menus.MobileCustomizer	canLeaveMenu	400	3
0x101e0fcdc	SDV_StardewValley_Menus_MobileCustomizer_draw_06005e13	0x06005e13	StardewValley.Menus.MobileCustomizer	draw	14304	82
0x101e13f64	SDV_StardewValley_Menus_MobileCustomizer_ShowAdvancedOptions_06005e14	0x06005e14	StardewValley.Menus.MobileCustomizer	ShowAdvancedOptions	364	1
