token	declaring_type	field	attributes
0x0400007B	ObjectID	CoffeeBean	Public, Static, Literal, HasDefault
0x0400007C	ObjectID	Coleslaw	Public, Static, Literal, HasDefault
0x0400007D	ObjectID	CommonMushroom	Public, Static, Literal, HasDefault
0x0400007E	ObjectID	CompleteBreakfast	Public, Static, Literal, HasDefault
0x0400007F	ObjectID	Cookie	Public, Static, Literal, HasDefault
0x04000080	ObjectID	CopperBar	Public, Static, Literal, HasDefault
0x04000081	ObjectID	CopperOre	Public, Static, Literal, HasDefault
0x04000082	ObjectID	Coral	Public, Static, Literal, HasDefault
0x04000083	ObjectID	CorkBobber	Public, Static, Literal, HasDefault
0x04000084	ObjectID	Corn	Public, Static, Literal, HasDefault
0x04000085	ObjectID	CornSeeds	Public, Static, Literal, HasDefault
0x04000086	ObjectID	Crab	Public, Static, Literal, HasDefault
0x04000087	ObjectID	CrabCakes	Public, Static, Literal, HasDefault
0x04000088	ObjectID	CrabPot	Public, Static, Literal, HasDefault
0x04000089	ObjectID	CrabshellRing	Public, Static, Literal, HasDefault
0x0400008A	ObjectID	Cranberries	Public, Static, Literal, HasDefault
0x0400008B	ObjectID	CranberryCandy	Public, Static, Literal, HasDefault
0x0400008C	ObjectID	CranberrySauce	Public, Static, Literal, HasDefault
0x0400008D	ObjectID	CranberrySeeds	Public, Static, Literal, HasDefault
0x0400008E	ObjectID	Crayfish	Public, Static, Literal, HasDefault
0x0400008F	ObjectID	Crimsonfish	Public, Static, Literal, HasDefault
0x04000090	ObjectID	CrispyBass	Public, Static, Literal, HasDefault
0x04000091	ObjectID	Crocus	Public, Static, Literal, HasDefault
0x04000092	ObjectID	CrystalFloor	Public, Static, Literal, HasDefault
0x04000093	ObjectID	CrystalFruit	Public, Static, Literal, HasDefault
0x04000094	ObjectID	CrystalPath	Public, Static, Literal, HasDefault
0x04000095	ObjectID	Daffodil	Public, Static, Literal, HasDefault
0x04000096	ObjectID	Dandelion	Public, Static, Literal, HasDefault
0x04000097	ObjectID	DecorativePot	Public, Static, Literal, HasDefault
0x04000098	ObjectID	DeluxeSpeedGro	Public, Static, Literal, HasDefault
0x04000099	ObjectID	Diamond	Public, Static, Literal, HasDefault
0x0400009A	ObjectID	DinosaurEgg	Public, Static, Literal, HasDefault
0x0400009B	ObjectID	DinosaurMayonnaise	Public, Static, Literal, HasDefault
0x0400009C	ObjectID	DishOTheSea	Public, Static, Literal, HasDefault
0x0400009D	ObjectID	Dolomite	Public, Static, Literal, HasDefault
0x0400009E	ObjectID	Dorado	Public, Static, Literal, HasDefault
0x0400009F	ObjectID	DressedSpinner	Public, Static, Literal, HasDefault
0x040000A0	ObjectID	DriedStarfish	Public, Static, Literal, HasDefault
0x040000A1	ObjectID	Driftwood	Public, Static, Literal, HasDefault
0x040000A2	ObjectID	DrumBlock	Public, Static, Literal, HasDefault
0x040000A3	ObjectID	DuckEgg	Public, Static, Literal, HasDefault
0x040000A4	ObjectID	DuckFeather	Public, Static, Literal, HasDefault
0x040000A5	ObjectID	DuckMayonnaise	Public, Static, Literal, HasDefault
0x040000A6	ObjectID	DwarfGadget	Public, Static, Literal, HasDefault
0x040000A7	ObjectID	DwarfScrollI	Public, Static, Literal, HasDefault
0x040000A8	ObjectID	DwarfScrollII	Public, Static, Literal, HasDefault
0x040000A9	ObjectID	DwarfScrollIII	Public, Static, Literal, HasDefault
0x040000AA	ObjectID	DwarfScrollIV	Public, Static, Literal, HasDefault
0x040000AB	ObjectID	DwarvishHelm	Public, Static, Literal, HasDefault
0x040000AC	ObjectID	DwarvishTranslationGuide	Public, Static, Literal, HasDefault
0x040000AD	ObjectID	EarthCrystal	Public, Static, Literal, HasDefault
0x040000AE	ObjectID	Eel	Public, Static, Literal, HasDefault
0x040000AF	ObjectID	Egg	Public, Static, Literal, HasDefault
0x040000B0	ObjectID	Egg1	Public, Static, Literal, HasDefault
0x040000B1	ObjectID	Eggplant	Public, Static, Literal, HasDefault
0x040000B2	ObjectID	EggplantParmesan	Public, Static, Literal, HasDefault
0x040000B3	ObjectID	EggplantSeeds	Public, Static, Literal, HasDefault
0x040000B4	ObjectID	ElvishJewelry	Public, Static, Literal, HasDefault
0x040000B5	ObjectID	Emerald	Public, Static, Literal, HasDefault
0x040000B6	ObjectID	EmeraldRing	Public, Static, Literal, HasDefault
0x040000B7	ObjectID	EnergyTonic	Public, Static, Literal, HasDefault
0x040000B8	ObjectID	Escargot	Public, Static, Literal, HasDefault
0x040000B9	ObjectID	Esperite	Public, Static, Literal, HasDefault
0x040000BA	ObjectID	ExplosiveAmmo	Public, Static, Literal, HasDefault
0x040000BB	ObjectID	FairyRose	Public, Static, Literal, HasDefault
0x040000BC	ObjectID	FairySeeds	Public, Static, Literal, HasDefault
0x040000BD	ObjectID	FairyStone	Public, Static, Literal, HasDefault
0x040000BE	ObjectID	FallSeeds	Public, Static, Literal, HasDefault
0x040000BF	ObjectID	FarmersLunch	Public, Static, Literal, HasDefault
0x040000C0	ObjectID	Fiber	Public, Static, Literal, HasDefault
0x040000C1	ObjectID	FiddleheadFern	Public, Static, Literal, HasDefault
0x040000C2	ObjectID	FiddleheadRisotto	Public, Static, Literal, HasDefault
0x040000C3	ObjectID	FieldSnack	Public, Static, Literal, HasDefault
0x040000C4	ObjectID	FireOpal	Public, Static, Literal, HasDefault
0x040000C5	ObjectID	FireQuartz	Public, Static, Literal, HasDefault
0x040000C6	ObjectID	FishStew	Public, Static, Literal, HasDefault
0x040000C7	ObjectID	FishTaco	Public, Static, Literal, HasDefault
0x040000C8	ObjectID	Flounder	Public, Static, Literal, HasDefault
0x040000C9	ObjectID	Fluorapatite	Public, Static, Literal, HasDefault
0x040000CA	ObjectID	FluteBlock	Public, Static, Literal, HasDefault
0x040000CB	ObjectID	FriedCalamari	Public, Static, Literal, HasDefault
0x040000CC	ObjectID	FriedEel	Public, Static, Literal, HasDefault
0x040000CD	ObjectID	FriedEgg	Public, Static, Literal, HasDefault
0x040000CE	ObjectID	FriedMushroom	Public, Static, Literal, HasDefault
0x040000CF	ObjectID	FrozenGeode	Public, Static, Literal, HasDefault
0x040000D0	ObjectID	FrozenTear	Public, Static, Literal, HasDefault
0x040000D1	ObjectID	FruitSalad	Public, Static, Literal, HasDefault
0x040000D2	ObjectID	Garlic	Public, Static, Literal, HasDefault
0x040000D3	ObjectID	GarlicSeeds	Public, Static, Literal, HasDefault
0x040000D4	ObjectID	Gate	Public, Static, Literal, HasDefault
0x040000D5	ObjectID	Geminite	Public, Static, Literal, HasDefault
0x040000D6	ObjectID	Geode	Public, Static, Literal, HasDefault
0x040000D7	ObjectID	GhostCrystal	Public, Static, Literal, HasDefault
0x040000D8	ObjectID	Ghostfish	Public, Static, Literal, HasDefault
0x040000D9	ObjectID	Glacierfish	Public, Static, Literal, HasDefault
0x040000DA	ObjectID	GlassShards	Public, Static, Literal, HasDefault
0x040000DB	ObjectID	GlazedYams	Public, Static, Literal, HasDefault
0x040000DC	ObjectID	GlowRing	Public, Static, Literal, HasDefault
0x040000DD	ObjectID	GoatCheese	Public, Static, Literal, HasDefault
0x040000DE	ObjectID	GoatMilk	Public, Static, Literal, HasDefault
0x040000DF	ObjectID	GoldBar	Public, Static, Literal, HasDefault
0x040000E0	ObjectID	GoldenMask	Public, Static, Literal, HasDefault
0x040000E1	ObjectID	GoldenPumpkin	Public, Static, Literal, HasDefault
0x040000E2	ObjectID	GoldenRelic	Public, Static, Literal, HasDefault
0x040000E3	ObjectID	GoldOre	Public, Static, Literal, HasDefault
0x040000E4	ObjectID	Granite	Public, Static, Literal, HasDefault
0x040000E5	ObjectID	Grape	Public, Static, Literal, HasDefault
0x040000E6	ObjectID	GrapeStarter	Public, Static, Literal, HasDefault
0x040000E7	ObjectID	GrassStarter	Public, Static, Literal, HasDefault
0x040000E8	ObjectID	GravelPath	Public, Static, Literal, HasDefault
0x040000E9	ObjectID	GreenAlgae	Public, Static, Literal, HasDefault
0x040000EA	ObjectID	GreenBean	Public, Static, Literal, HasDefault
0x040000EB	ObjectID	GreenSlimeEgg	Public, Static, Literal, HasDefault
0x040000EC	ObjectID	GreenTea	Public, Static, Literal, HasDefault
0x040000ED	ObjectID	Halibut	Public, Static, Literal, HasDefault
0x040000EE	ObjectID	Hardwood	Public, Static, Literal, HasDefault
0x040000EF	ObjectID	HardwoodFence	Public, Static, Literal, HasDefault
0x040000F0	ObjectID	Hashbrowns	Public, Static, Literal, HasDefault
0x040000F1	ObjectID	Hay	Public, Static, Literal, HasDefault
0x040000F2	ObjectID	Hazelnut	Public, Static, Literal, HasDefault
0x040000F3	ObjectID	Helvite	Public, Static, Literal, HasDefault
0x040000F4	ObjectID	Hematite	Public, Static, Literal, HasDefault
0x040000F5	ObjectID	Herring	Public, Static, Literal, HasDefault
0x040000F6	ObjectID	Holly	Public, Static, Literal, HasDefault
0x040000F7	ObjectID	Honey	Public, Static, Literal, HasDefault
0x040000F8	ObjectID	Hops	Public, Static, Literal, HasDefault
0x040000F9	ObjectID	HopsStarter	Public, Static, Literal, HasDefault
0x040000FA	ObjectID	HotPepper	Public, Static, Literal, HasDefault
0x040000FB	ObjectID	IceCream	Public, Static, Literal, HasDefault
0x040000FC	ObjectID	IcePip	Public, Static, Literal, HasDefault
0x040000FD	ObjectID	IridiumBand	Public, Static, Literal, HasDefault
0x040000FE	ObjectID	IridiumBar	Public, Static, Literal, HasDefault
0x040000FF	ObjectID	IridiumMilk	Public, Static, Literal, HasDefault
0x04000100	ObjectID	IridiumOre	Public, Static, Literal, HasDefault
0x04000101	ObjectID	IridiumSprinkler	Public, Static, Literal, HasDefault
0x04000102	ObjectID	IronBar	Public, Static, Literal, HasDefault
0x04000103	ObjectID	IronFence	Public, Static, Literal, HasDefault
0x04000104	ObjectID	IronOre	Public, Static, Literal, HasDefault
0x04000105	ObjectID	JackOLantern	Public, Static, Literal, HasDefault
0x04000106	ObjectID	Jade	Public, Static, Literal, HasDefault
0x04000107	ObjectID	JadeRing	Public, Static, Literal, HasDefault
0x04000108	ObjectID	Jagoite	Public, Static, Literal, HasDefault
0x04000109	ObjectID	Jamborite	Public, Static, Literal, HasDefault
0x0400010A	ObjectID	Jasper	Public, Static, Literal, HasDefault
0x0400010B	ObjectID	JazzSeeds	Public, Static, Literal, HasDefault
0x0400010C	ObjectID	Jelly	Public, Static, Literal, HasDefault
0x0400010D	ObjectID	JojaCola	Public, Static, Literal, HasDefault
0x0400010E	ObjectID	Juice	Public, Static, Literal, HasDefault
0x0400010F	ObjectID	JukeboxRing	Public, Static, Literal, HasDefault
0x04000110	ObjectID	Kale	Public, Static, Literal, HasDefault
0x04000111	ObjectID	KaleSeeds	Public, Static, Literal, HasDefault
0x04000112	ObjectID	Kyanite	Public, Static, Literal, HasDefault
0x04000113	ObjectID	LargeEgg	Public, Static, Literal, HasDefault
0x04000114	ObjectID	LargeEgg1	Public, Static, Literal, HasDefault
0x04000115	ObjectID	LargeMilk	Public, Static, Literal, HasDefault
0x04000116	ObjectID	LargemouthBass	Public, Static, Literal, HasDefault
0x04000117	ObjectID	LavaEel	Public, Static, Literal, HasDefault
0x04000118	ObjectID	LeadBobber	Public, Static, Literal, HasDefault
0x04000119	ObjectID	Leek	Public, Static, Literal, HasDefault
0x0400011A	ObjectID	Legend	Public, Static, Literal, HasDefault
0x0400011B	ObjectID	LemonStone	Public, Static, Literal, HasDefault
0x0400011C	ObjectID	LGoatMilk	Public, Static, Literal, HasDefault
0x0400011D	ObjectID	LifeElixir	Public, Static, Literal, HasDefault
0x0400011E	ObjectID	Limestone	Public, Static, Literal, HasDefault
0x0400011F	ObjectID	Lingcod	Public, Static, Literal, HasDefault
0x04000120	ObjectID	Lobster	Public, Static, Literal, HasDefault
0x04000121	ObjectID	LobsterBisque	Public, Static, Literal, HasDefault
0x04000122	ObjectID	LostAxe	Public, Static, Literal, HasDefault
0x04000123	ObjectID	LostBook	Public, Static, Literal, HasDefault
0x04000124	ObjectID	LuckyLunch	Public, Static, Literal, HasDefault
0x04000125	ObjectID	LuckyPurpleShorts	Public, Static, Literal, HasDefault
0x04000126	ObjectID	Lumber	Public, Static, Literal, HasDefault
0x04000127	ObjectID	Lunarite	Public, Static, Literal, HasDefault
0x04000128	ObjectID	MagicRockCandy	Public, Static, Literal, HasDefault
0x04000129	ObjectID	MagmaGeode	Public, Static, Literal, HasDefault
0x0400012A	ObjectID	Magnet	Public, Static, Literal, HasDefault
0x0400012B	ObjectID	MagnetRing	Public, Static, Literal, HasDefault
0x0400012C	ObjectID	MakiRoll	Public, Static, Literal, HasDefault
0x0400012D	ObjectID	Malachite	Public, Static, Literal, HasDefault
0x0400012E	ObjectID	MapleBar	Public, Static, Literal, HasDefault
0x0400012F	ObjectID	MapleSeed	Public, Static, Literal, HasDefault
0x04000130	ObjectID	MapleSyrup	Public, Static, Literal, HasDefault
0x04000131	ObjectID	Marble	Public, Static, Literal, HasDefault
0x04000132	ObjectID	Mayonnaise	Public, Static, Literal, HasDefault
0x04000133	ObjectID	Mead	Public, Static, Literal, HasDefault
0x04000134	ObjectID	MegaBomb	Public, Static, Literal, HasDefault
0x04000135	ObjectID	Melon	Public, Static, Literal, HasDefault
0x04000136	ObjectID	MelonSeeds	Public, Static, Literal, HasDefault
0x04000137	ObjectID	MermaidsPendant	Public, Static, Literal, HasDefault
0x04000138	ObjectID	MidnightCarp	Public, Static, Literal, HasDefault
0x04000139	ObjectID	MidnightSquid	Public, Static, Literal, HasDefault
0x0400013A	ObjectID	Milk	Public, Static, Literal, HasDefault
0x0400013B	ObjectID	MinersTreat	Public, Static, Literal, HasDefault
0x0400013C	ObjectID	MixedSeeds	Public, Static, Literal, HasDefault
0x0400013D	ObjectID	Morel	Public, Static, Literal, HasDefault
0x0400013E	ObjectID	MovieTicket	Public, Static, Literal, HasDefault
0x0400013F	ObjectID	Mudstone	Public, Static, Literal, HasDefault
0x04000140	ObjectID	MuscleRemedy	Public, Static, Literal, HasDefault
0x04000141	ObjectID	Mussel	Public, Static, Literal, HasDefault
0x04000142	ObjectID	MutantCarp	Public, Static, Literal, HasDefault
0x04000143	ObjectID	NapalmRing	Public, Static, Literal, HasDefault
0x04000144	ObjectID	NautilusFossil	Public, Static, Literal, HasDefault
0x04000145	ObjectID	NautilusShell	Public, Static, Literal, HasDefault
0x04000146	ObjectID	Nekoite	Public, Static, Literal, HasDefault
0x04000147	ObjectID	Neptunite	Public, Static, Literal, HasDefault
0x04000148	ObjectID	OakResin	Public, Static, Literal, HasDefault
0x04000149	ObjectID	Obsidian	Public, Static, Literal, HasDefault
0x0400014A	ObjectID	OceanStone	Public, Static, Literal, HasDefault
0x0400014B	ObjectID	Octopus	Public, Static, Literal, HasDefault
0x0400014C	ObjectID	Oil	Public, Static, Literal, HasDefault
0x0400014D	ObjectID	OilofGarlic	Public, Static, Literal, HasDefault
0x0400014E	ObjectID	Omelet	Public, Static, Literal, HasDefault
0x0400014F	ObjectID	OmniGeode	Public, Static, Literal, HasDefault
0x04000150	ObjectID	Opal	Public, Static, Literal, HasDefault
0x04000151	ObjectID	Orange	Public, Static, Literal, HasDefault
0x04000152	ObjectID	OrangeSapling	Public, Static, Literal, HasDefault
0x04000153	ObjectID	OrnamentalFan	Public, Static, Literal, HasDefault
0x04000154	ObjectID	OrnateNecklace	Public, Static, Literal, HasDefault
0x04000155	ObjectID	Orpiment	Public, Static, Literal, HasDefault
0x04000156	ObjectID	Oyster	Public, Static, Literal, HasDefault
0x04000157	ObjectID	PaleAle	Public, Static, Literal, HasDefault
0x04000158	ObjectID	PaleBroth	Public, Static, Literal, HasDefault
0x04000159	ObjectID	PalmFossil	Public, Static, Literal, HasDefault
0x0400015A	ObjectID	Pancakes	Public, Static, Literal, HasDefault
0x0400015B	ObjectID	Parsnip	Public, Static, Literal, HasDefault
0x0400015C	ObjectID	ParsnipSeeds	Public, Static, Literal, HasDefault
0x0400015D	ObjectID	ParsnipSoup	Public, Static, Literal, HasDefault
0x0400015E	ObjectID	Peach	Public, Static, Literal, HasDefault
0x0400015F	ObjectID	PeachSapling	Public, Static, Literal, HasDefault
0x04000160	ObjectID	Pearl	Public, Static, Literal, HasDefault
0x04000161	ObjectID	PepperPoppers	Public, Static, Literal, HasDefault
0x04000162	ObjectID	PepperSeeds	Public, Static, Literal, HasDefault
0x04000163	ObjectID	Perch	Public, Static, Literal, HasDefault
0x04000164	ObjectID	Periwinkle	Public, Static, Literal, HasDefault
0x04000165	ObjectID	PetrifiedSlime	Public, Static, Literal, HasDefault
0x04000166	ObjectID	Pickles	Public, Static, Literal, HasDefault
0x04000167	ObjectID	Pike	Public, Static, Literal, HasDefault
0x04000168	ObjectID	PineCone	Public, Static, Literal, HasDefault
0x04000169	ObjectID	PineTar	Public, Static, Literal, HasDefault
0x0400016A	ObjectID	PinkCake	Public, Static, Literal, HasDefault
0x0400016B	ObjectID	Pizza	Public, Static, Literal, HasDefault
0x0400016C	ObjectID	PlumPudding	Public, Static, Literal, HasDefault
0x0400016D	ObjectID	Pomegranate	Public, Static, Literal, HasDefault
0x0400016E	ObjectID	PomegranateSapling	Public, Static, Literal, HasDefault
0x0400016F	ObjectID	Poppy	Public, Static, Literal, HasDefault
0x04000170	ObjectID	PoppyseedMuffin	Public, Static, Literal, HasDefault
0x04000171	ObjectID	PoppySeeds	Public, Static, Literal, HasDefault
0x04000172	ObjectID	Potato	Public, Static, Literal, HasDefault
0x04000173	ObjectID	PotatoSeeds	Public, Static, Literal, HasDefault
0x04000174	ObjectID	PrehistoricHandaxe	Public, Static, Literal, HasDefault
0x04000175	ObjectID	PrehistoricRib	Public, Static, Literal, HasDefault
0x04000176	ObjectID	PrehistoricScapula	Public, Static, Literal, HasDefault
0x04000177	ObjectID	PrehistoricSkull	Public, Static, Literal, HasDefault
0x04000178	ObjectID	PrehistoricTibia	Public, Static, Literal, HasDefault
0x04000179	ObjectID	PrehistoricTool	Public, Static, Literal, HasDefault
0x0400017A	ObjectID	PrehistoricVertebra	Public, Static, Literal, HasDefault
0x0400017B	ObjectID	PrismaticShard	Public, Static, Literal, HasDefault
0x0400017C	ObjectID	Pufferfish	Public, Static, Literal, HasDefault
0x0400017D	ObjectID	Pumpkin	Public, Static, Literal, HasDefault
0x0400017E	ObjectID	PumpkinPie	Public, Static, Literal, HasDefault
0x0400017F	ObjectID	PumpkinSeeds	Public, Static, Literal, HasDefault
0x04000180	ObjectID	PumpkinSoup	Public, Static, Literal, HasDefault
0x04000181	ObjectID	PurpleMushroom	Public, Static, Literal, HasDefault
0x04000182	ObjectID	PurpleSlimeEgg	Public, Static, Literal, HasDefault
0x04000183	ObjectID	Pyrite	Public, Static, Literal, HasDefault
0x04000184	ObjectID	QualityFertilizer	Public, Static, Literal, HasDefault
0x04000185	ObjectID	QualityRetainingSoil	Public, Static, Literal, HasDefault
0x04000186	ObjectID	QualitySprinkler	Public, Static, Literal, HasDefault
0x04000187	ObjectID	Quartz	Public, Static, Literal, HasDefault
0x04000188	ObjectID	RabbitsFoot	Public, Static, Literal, HasDefault
0x04000189	ObjectID	Radish	Public, Static, Literal, HasDefault
0x0400018A	ObjectID	RadishSalad	Public, Static, Literal, HasDefault
0x0400018B	ObjectID	RadishSeeds	Public, Static, Literal, HasDefault
