token	type	attributes	methods	fields	properties	nested
0x02000042	rail.IRailGameServerImpl	Public, BeforeFieldInit	53	0	0	0
0x02000043	rail.IRailGameServerHelperImpl	Public, BeforeFieldInit	15	0	0	0
0x02000044	rail.IRailGlobalAchievementImpl	Public, BeforeFieldInit	7	0	0	0
0x02000045	rail.IRailGlobalStatsImpl	Public, BeforeFieldInit	9	0	0	0
0x02000046	rail.IRailGroupChatImpl	Public, BeforeFieldInit	6	0	0	0
0x02000047	rail.IRailGroupChatHelperImpl	Public, BeforeFieldInit	4	0	0	0
0x02000048	rail.IRailHttpResponseImpl	Public, BeforeFieldInit	14	0	0	0
0x02000049	rail.IRailHttpSessionImpl	Public, BeforeFieldInit	10	0	0	0
0x0200004A	rail.IRailHttpSessionHelperImpl	Public, BeforeFieldInit	4	0	0	0
0x0200004B	rail.IRailIMEHelperImpl	Public, BeforeFieldInit	4	0	0	0
0x0200004C	rail.IRailInGameActivityHelperImpl	Public, BeforeFieldInit	5	0	0	0
0x0200004D	rail.IRailInGameCoinImpl	Public, BeforeFieldInit	5	0	0	0
0x0200004E	rail.IRailInGamePurchaseImpl	Public, BeforeFieldInit	8	0	0	0
0x0200004F	rail.IRailInGameStorePurchaseHelperImpl	Public, BeforeFieldInit	3	0	0	0
0x02000050	rail.IRailLeaderboardImpl	Public, BeforeFieldInit	14	0	0	0
0x02000051	rail.IRailLeaderboardEntriesImpl	Public, BeforeFieldInit	10	0	0	0
0x02000052	rail.IRailLeaderboardHelperImpl	Public, BeforeFieldInit	4	0	0	0
0x02000053	rail.IRailNetworkImpl	Public, BeforeFieldInit	21	0	0	0
0x02000054	rail.IRailPlayerImpl	Public, BeforeFieldInit	20	0	0	0
0x02000055	rail.IRailPlayerAchievementImpl	Public, BeforeFieldInit	17	0	0	0
0x02000056	rail.IRailPlayerStatsImpl	Public, BeforeFieldInit	13	0	0	0
0x02000057	rail.IRailRoomImpl	Public, BeforeFieldInit	37	0	0	0
0x02000058	rail.IRailRoomHelperImpl	Public, BeforeFieldInit	9	0	0	0
0x02000059	rail.IRailScreenshotImpl	Public, BeforeFieldInit	8	0	0	0
0x0200005A	rail.IRailScreenshotHelperImpl	Public, BeforeFieldInit	7	0	0	0
0x0200005B	rail.IRailSmallObjectServiceHelperImpl	Public, BeforeFieldInit	5	0	0	0
0x0200005C	rail.IRailSpaceWorkImpl	Public, BeforeFieldInit	58	0	0	0
0x0200005D	rail.IRailStatisticHelperImpl	Public, BeforeFieldInit	5	0	0	0
0x0200005E	rail.IRailStorageHelperImpl	Public, BeforeFieldInit	25	0	0	0
0x0200005F	rail.IRailStreamFileImpl	Public, BeforeFieldInit	10	0	0	0
0x02000060	rail.IRailSystemHelperImpl	Public, BeforeFieldInit	5	0	0	0
0x02000061	rail.IRailTextInputHelperImpl	Public, BeforeFieldInit	5	0	0	0
0x02000062	rail.IRailThirdPartyAccountLoginHelperImpl	Public, BeforeFieldInit	8	0	0	0
0x02000063	rail.IRailUsersHelperImpl	Public, BeforeFieldInit	10	0	0	0
0x02000064	rail.IRailUserSpaceHelperImpl	Public, BeforeFieldInit	23	0	0	0
0x02000065	rail.IRailUtilsImpl	Public, BeforeFieldInit	15	0	0	0
0x02000066	rail.IRailVoiceChannelImpl	Public, BeforeFieldInit	19	0	0	0
0x02000067	rail.IRailVoiceHelperImpl	Public, BeforeFieldInit	23	0	0	0
0x02000068	rail.IRailZoneServerImpl	Public, BeforeFieldInit	16	0	0	0
0x02000069	rail.IRailZoneServerHelperImpl	Public, BeforeFieldInit	6	0	0	0
0x0200006A	rail.RailCrashBufferImpl	Public, BeforeFieldInit	8	0	0	0
0x0200006B	rail.RailObjectDelete	Public, Sealed	4	0	0	0
0x0200006C	rail.RailObject	Public, BeforeFieldInit	3	1	0	0
0x0200006D	rail.IRailComponent	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x0200006E	rail.RailConverter	Public, BeforeFieldInit	703	0	0	0
0x0200006F	rail.GlobalAchievementReceived	Public, BeforeFieldInit	1	1	0	0
0x02000070	rail.IRailAchievementHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x02000071	rail.IRailGlobalAchievement	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	3	0	0	0
0x02000072	rail.IRailPlayerAchievement	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	13	0	0	0
0x02000073	rail.PlayerAchievementReceived	Public, BeforeFieldInit	1	0	0	0
0x02000074	rail.PlayerAchievementStored	Public, BeforeFieldInit	1	4	0	0
0x02000075	rail.RailPlayerAchievementInfo	Public, BeforeFieldInit	1	10	0	0
0x02000076	rail.IRailAntiAddictionHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	1	0	0	0
0x02000077	rail.RailAntiAddictionActionType	Public, Sealed	0	4	0	0
0x02000078	rail.RailCustomizeAntiAddictionActions	Public, BeforeFieldInit	1	1	0	0
0x02000079	rail.RailQueryGameOnlineTimeResult	Public, BeforeFieldInit	1	1	0	0
0x0200007A	rail.rail_api	Public, BeforeFieldInit	13	2	5	0
0x0200007B	rail.IRailApps	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x0200007C	rail.IRailAssets	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	16	0	0	0
0x0200007D	rail.IRailAssetsHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x0200007E	rail.CompleteConsumeAssetsFinished	Public, BeforeFieldInit	1	1	0	0
0x0200007F	rail.CompleteConsumeByExchangeAssetsToFinished	Public, BeforeFieldInit	1	0	0	0
0x02000080	rail.DirectConsumeAssetsFinished	Public, BeforeFieldInit	1	1	0	0
0x02000081	rail.EnumRailAssetFlags	Public, Sealed	0	3	0	0
0x02000082	rail.EnumRailAssetOrigin	Public, Sealed	0	9	0	0
0x02000083	rail.EnumRailAssetState	Public, Sealed	0	3	0	0
0x02000084	rail.ExchangeAssetsFinished	Public, BeforeFieldInit	1	2	0	0
0x02000085	rail.ExchangeAssetsToFinished	Public, BeforeFieldInit	1	3	0	0
0x02000086	rail.MergeAssetsFinished	Public, BeforeFieldInit	1	2	0	0
0x02000087	rail.MergeAssetsToFinished	Public, BeforeFieldInit	1	2	0	0
0x02000088	rail.RailAssetInfo	Public, BeforeFieldInit	1	11	0	0
0x02000089	rail.RailAssetItem	Public, BeforeFieldInit	1	2	0	0
0x0200008A	rail.RailAssetProperty	Public, BeforeFieldInit	1	2	0	0
0x0200008B	rail.RailAssetsChanged	Public, BeforeFieldInit	1	0	0	0
0x0200008C	rail.RailGeneratedAssetItem	Public, BeforeFieldInit	1	3	0	0
0x0200008D	rail.RailProductItem	Public, BeforeFieldInit	1	2	0	0
0x0200008E	rail.RequestAllAssetsFinished	Public, BeforeFieldInit	1	1	0	0
0x0200008F	rail.SplitAssetsFinished	Public, BeforeFieldInit	1	3	0	0
0x02000090	rail.SplitAssetsToFinished	Public, BeforeFieldInit	1	3	0	0
0x02000091	rail.StartConsumeAssetsFinished	Public, BeforeFieldInit	1	1	0	0
0x02000092	rail.UpdateAssetsPropertyFinished	Public, BeforeFieldInit	1	1	0	0
0x02000093	rail.UpdateConsumeAssetsFinished	Public, BeforeFieldInit	1	1	0	0
0x02000094	rail.IRailBrowser	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	8	0	0	0
0x02000095	rail.IRailBrowserHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	7	0	0	0
0x02000096	rail.IRailBrowserRender	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	20	0	0	0
0x02000097	rail.BrowserDamageRectNeedsPaintRequest	Public, BeforeFieldInit	1	12	0	0
0x02000098	rail.BrowserNeedsPaintRequest	Public, BeforeFieldInit	1	8	0	0
0x02000099	rail.BrowserRenderNavigateResult	Public, BeforeFieldInit	1	1	0	0
0x0200009A	rail.BrowserRenderStateChanged	Public, BeforeFieldInit	1	2	0	0
0x0200009B	rail.BrowserRenderTitleChanged	Public, BeforeFieldInit	1	1	0	0
0x0200009C	rail.BrowserTryNavigateNewPageRequest	Public, BeforeFieldInit	1	3	0	0
0x0200009D	rail.CloseBrowserResult	Public, BeforeFieldInit	1	0	0	0
0x0200009E	rail.CreateBrowserOptions	Public, BeforeFieldInit	1	7	0	0
0x0200009F	rail.CreateBrowserResult	Public, BeforeFieldInit	1	0	0	0
0x020000A0	rail.CreateCustomerDrawBrowserOptions	Public, BeforeFieldInit	1	5	0	0
0x020000A1	rail.EnumRailMouseActionType	Public, Sealed	0	12	0	0
0x020000A2	rail.JavascriptEventResult	Public, BeforeFieldInit	1	2	0	0
0x020000A3	rail.ReloadBrowserResult	Public, BeforeFieldInit	1	0	0	0
0x020000A4	rail.RailCallBackHelper	Public, BeforeFieldInit	8	4	1	0
0x020000A5	rail.EnumCommonLimit	Public, Sealed	0	6	0	0
0x020000A6	rail.EnumRailComparisonType	Public, Sealed	0	12	0	0
0x020000A7	rail.EnumRailGameRefundState	Public, Sealed	0	8	0	0
0x020000A8	rail.EnumRailIDDomain	Public, Sealed	0	3	0	0
0x020000A9	rail.EnumRailIDValue	Public, Sealed	0	4	0	0
0x020000AA	rail.EnumRailOptionalValue	Public, Sealed	0	4	0	0
0x020000AB	rail.EnumRailPlatformType	Public, Sealed	0	3	0	0
0x020000AC	rail.EnumRailPropertyValueType	Public, Sealed	0	4	0	0
0x020000AD	rail.EnumRailSortType	Public, Sealed	0	5	0	0
0x020000AE	rail.RailDlcID	Public, BeforeFieldInit	2	0	0	0
0x020000AF	rail.RailGameID	Public, BeforeFieldInit	2	0	0	0
0x020000B0	rail.RailID	Public, BeforeFieldInit	3	0	0	0
0x020000B1	rail.RailKeyValue	Public, BeforeFieldInit	1	2	0	0
0x020000B2	rail.RailSessionTicket	Public, BeforeFieldInit	1	1	0	0
0x020000B3	rail.RailVoiceChannelID	Public, BeforeFieldInit	2	0	0	0
0x020000B4	rail.RailZoneID	Public, BeforeFieldInit	2	0	0	0
0x020000B5	rail.IRailDlcHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	9	0	0	0
0x020000B6	rail.CheckAllDlcsStateReadyResult	Public, BeforeFieldInit	1	0	0	0
0x020000B7	rail.DlcInstallFinished	Public, BeforeFieldInit	1	2	0	0
0x020000B8	rail.DlcInstallProgress	Public, BeforeFieldInit	1	2	0	0
0x020000B9	rail.DlcInstallStart	Public, BeforeFieldInit	1	1	0	0
0x020000BA	rail.DlcInstallStartResult	Public, BeforeFieldInit	1	2	0	0
0x020000BB	rail.DlcOwnershipChanged	Public, BeforeFieldInit	1	2	0	0
0x020000BC	rail.DlcRefundChanged	Public, BeforeFieldInit	1	2	0	0
0x020000BD	rail.DlcUninstallFinished	Public, BeforeFieldInit	1	2	0	0
0x020000BE	rail.DlcUninstallProgress	Public, BeforeFieldInit	1	3	0	0
0x020000BF	rail.EnumRailDlcContentType	Public, Sealed	0	3	0	0
0x020000C0	rail.QueryIsOwnedDlcsResult	Public, BeforeFieldInit	1	1	0	0
0x020000C1	rail.RailDlcInfo	Public, BeforeFieldInit	1	8	0	0
0x020000C2	rail.RailDlcInstallProgress	Public, BeforeFieldInit	1	4	0	0
0x020000C3	rail.RailDlcOwned	Public, BeforeFieldInit	1	2	0	0
0x020000C4	rail.RailDlcUninstallProgress	Public, BeforeFieldInit	1	3	0	0
0x020000C5	rail.EventBase	Public, BeforeFieldInit	1	4	0	0
0x020000C6	rail.RAILEventID	Public, Sealed	0	244	0	0
0x020000C7	rail.IRailFactory	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	33	0	0	0
0x020000C8	rail.IRailFloatingWindow	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	7	0	0	0
0x020000C9	rail.EnumRailNotifyWindowPosition	Public, Sealed	0	5	0	0
0x020000CA	rail.EnumRailNotifyWindowType	Public, Sealed	0	7	0	0
0x020000CB	rail.EnumRailStoreType	Public, Sealed	0	4	0	0
0x020000CC	rail.EnumRailWindowType	Public, Sealed	0	9	0	0
0x020000CD	rail.RailStoreOptions	Public, BeforeFieldInit	1	3	0	0
0x020000CE	rail.RailWindowClass	Public, Sealed	0	4	0	0
0x020000CF	rail.RailWindowLayout	Public, BeforeFieldInit	1	3	0	0
0x020000D0	rail.ShowFloatingWindowResult	Public, BeforeFieldInit	1	2	0	0
0x020000D1	rail.ShowNotifyWindow	Public, BeforeFieldInit	1	2	0	0
0x020000D2	rail.IRailFriends	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	14	0	0	0
0x020000D3	rail.EnumRailFriendType	Public, Sealed	0	4	0	0
0x020000D4	rail.EnumRailUserPlayedWithLimit	Public, Sealed	0	3	0	0
0x020000D5	rail.RailFriendInfo	Public, BeforeFieldInit	1	3	0	0
0x020000D6	rail.RailFriendMetadata	Public, BeforeFieldInit	1	2	0	0
0x020000D7	rail.RailFriendOnLineState	Public, BeforeFieldInit	1	3	0	0
0x020000D8	rail.RailFriendPlayedGameInfo	Public, BeforeFieldInit	1	7	0	0
0x020000D9	rail.RailFriendPlayedGamePlayState	Public, Sealed	0	3	0	0
0x020000DA	rail.RailFriendsAddFriendRequest	Public, BeforeFieldInit	1	1	0	0
0x020000DB	rail.RailFriendsAddFriendResult	Public, BeforeFieldInit	1	1	0	0
0x020000DC	rail.RailFriendsClearMetadataResult	Public, BeforeFieldInit	1	0	0	0
0x020000DD	rail.RailFriendsGetInviteCommandLine	Public, BeforeFieldInit	1	2	0	0
0x020000DE	rail.RailFriendsGetMetadataResult	Public, BeforeFieldInit	1	2	0	0
0x020000DF	rail.RailFriendsListChanged	Public, BeforeFieldInit	1	0	0	0
0x020000E0	rail.RailFriendsMetadataChanged	Public, BeforeFieldInit	1	1	0	0
0x020000E1	rail.RailFriendsOnlineStateChanged	Public, BeforeFieldInit	1	1	0	0
0x020000E2	rail.RailFriendsQueryFriendPlayedGamesResult	Public, BeforeFieldInit	1	1	0	0
0x020000E3	rail.RailFriendsQueryPlayedWithFriendsGamesResult	Public, BeforeFieldInit	1	1	0	0
0x020000E4	rail.RailFriendsQueryPlayedWithFriendsListResult	Public, BeforeFieldInit	1	1	0	0
0x020000E5	rail.RailFriendsQueryPlayedWithFriendsTimeResult	Public, BeforeFieldInit	1	1	0	0
0x020000E6	rail.RailFriendsReportPlayedWithUserListResult	Public, BeforeFieldInit	1	0	0	0
0x020000E7	rail.RailFriendsSetMetadataResult	Public, BeforeFieldInit	1	0	0	0
0x020000E8	rail.RailKeyValueResult	Public, BeforeFieldInit	1	3	0	0
0x020000E9	rail.RailPlayedWithFriendsGameItem	Public, BeforeFieldInit	1	2	0	0
0x020000EA	rail.RailPlayedWithFriendsTimeItem	Public, BeforeFieldInit	1	2	0	0
0x020000EB	rail.RailUserPlayedWith	Public, BeforeFieldInit	1	2	0	0
0x020000EC	rail.IRailGame	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	19	0	0	0
0x020000ED	rail.EnumRailGameContentDamageFlag	Public, Sealed	0	3	0	0
0x020000EE	rail.EnumRailGamePlayingState	Public, Sealed	0	6	0	0
0x020000EF	rail.QuerySubscribeWishPlayStateResult	Public, BeforeFieldInit	1	1	0	0
0x020000F0	rail.RailBranchInfo	Public, BeforeFieldInit	1	5	0	0
0x020000F1	rail.RailGameClientNeedUpdate	Public, BeforeFieldInit	1	1	0	0
0x020000F2	rail.RailGameDefineGamePlayingState	Public, BeforeFieldInit	1	3	0	0
0x020000F3	rail.IRailGameServer	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	49	0	0	0
0x020000F4	rail.IRailGameServerHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	13	0	0	0
0x020000F5	rail.AsyncAcquireGameServerSessionTicketResponse	Public, BeforeFieldInit	1	1	0	0
0x020000F6	rail.AsyncAddFavoriteGameServerResult	Public, BeforeFieldInit	1	1	0	0
0x020000F7	rail.AsyncGetFavoriteGameServersResult	Public, BeforeFieldInit	1	1	0	0
0x020000F8	rail.AsyncRemoveFavoriteGameServerResult	Public, BeforeFieldInit	1	1	0	0
0x020000F9	rail.CreateGameServerOptions	Public, BeforeFieldInit	1	2	0	0
0x020000FA	rail.CreateGameServerResult	Public, BeforeFieldInit	1	1	0	0
0x020000FB	rail.GameServerInfo	Public, BeforeFieldInit	1	19	0	0
0x020000FC	rail.GameServerListFilter	Public, BeforeFieldInit	1	10	0	0
0x020000FD	rail.GameServerListFilterKey	Public, BeforeFieldInit	1	4	0	0
0x020000FE	rail.GameServerListSorter	Public, BeforeFieldInit	1	4	0	0
0x020000FF	rail.GameServerListSorterKeyType	Public, Sealed	0	4	0	0
0x02000100	rail.GameServerPlayerInfo	Public, BeforeFieldInit	1	3	0	0
0x02000101	rail.GameServerRegisterToServerListResult	Public, BeforeFieldInit	1	0	0	0
0x02000102	rail.GameServerStartSessionWithPlayerResponse	Public, BeforeFieldInit	1	1	0	0
0x02000103	rail.GetGameServerListResult	Public, BeforeFieldInit	1	4	0	0
0x02000104	rail.GetGameServerMetadataResult	Public, BeforeFieldInit	1	2	0	0
0x02000105	rail.GetGameServerPlayerListResult	Public, BeforeFieldInit	1	2	0	0
0x02000106	rail.RailReportGameServerInfoOptions	Public, BeforeFieldInit	1	2	0	0
0x02000107	rail.RailReportGameServerInfoResult	Public, BeforeFieldInit	1	1	0	0
0x02000108	rail.SetGameServerMetadataResult	Public, BeforeFieldInit	1	1	0	0
0x02000109	rail.IRailGroupChat	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x0200010A	rail.IRailGroupChatHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x0200010B	rail.RailGroupInfo	Public, BeforeFieldInit	1	3	0	0
0x0200010C	rail.RailOpenGroupChatResult	Public, BeforeFieldInit	1	0	0	0
0x0200010D	rail.RailQueryGroupsInfoResult	Public, BeforeFieldInit	1	1	0	0
0x0200010E	rail.IRailHttpResponse	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	10	0	0	0
0x0200010F	rail.IRailHttpSession	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	6	0	0	0
0x02000110	rail.IRailHttpSessionHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x02000111	rail.RailHttpSessionMethod	Public, Sealed	0	3	0	0
0x02000112	rail.RailHttpSessionResponse	Public, BeforeFieldInit	1	1	0	0
0x02000113	rail.IRailIMEHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x02000114	rail.RailIMEHelperTextInputCompositionState	Public, BeforeFieldInit	1	2	0	0
0x02000115	rail.RailIMEHelperTextInputSelectedResult	Public, BeforeFieldInit	1	1	0	0
0x02000116	rail.RailIMETextInputCompositionState	Public, Sealed	0	5	0	0
0x02000117	rail.RailTextInputImeWindowOption	Public, BeforeFieldInit	1	2	0	0
0x02000118	rail.RailWindowPosition	Public, BeforeFieldInit	1	2	0	0
0x02000119	rail.IRailInGameActivityHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	3	0	0	0
0x0200011A	rail.RailGameActivityInfo	Public, BeforeFieldInit	1	6	0	0
0x0200011B	rail.RailGameActivityPlayerEvent	Public, BeforeFieldInit	1	3	0	0
0x0200011C	rail.RailNotifyNewGameActivities	Public, BeforeFieldInit	1	1	0	0
0x0200011D	rail.RailOpenGameActivityWindowResult	Public, BeforeFieldInit	1	2	0	0
0x0200011E	rail.RailQueryGameActivityResult	Public, BeforeFieldInit	1	1	0	0
0x0200011F	rail.IRailInGameCoin	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	3	0	0	0
0x02000120	rail.RailCoinInfo	Public, BeforeFieldInit	1	6	0	0
0x02000121	rail.RailCoins	Public, BeforeFieldInit	1	4	0	0
0x02000122	rail.RailCurrencyExchangeCoinRate	Public, BeforeFieldInit	1	3	0	0
0x02000123	rail.RailInGameCoinPurchaseCoinsResponse	Public, BeforeFieldInit	1	0	0	0
0x02000124	rail.RailInGameCoinPurchaseProductsResponse	Public, BeforeFieldInit	1	0	0	0
0x02000125	rail.RailInGameCoinRequestCoinInfoResponse	Public, BeforeFieldInit	1	1	0	0
0x02000126	rail.RailPurchaseItem	Public, BeforeFieldInit	1	2	0	0
0x02000127	rail.RailPurchaseItemsInfo	Public, BeforeFieldInit	1	6	0	0
0x02000128	rail.RailThirdPartyAccountPurchaseInfo	Public, BeforeFieldInit	1	6	0	0
0x02000129	rail.IRailInGamePurchase	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	6	0	0	0
0x0200012A	rail.EnumRailProductId	Public, Sealed	0	6	0	0
0x0200012B	rail.PurchaseProductDiscountType	Public, Sealed	0	5	0	0
0x0200012C	rail.PurchaseProductOrderState	Public, Sealed	0	5	0	0
0x0200012D	rail.RailDiscountInfo	Public, BeforeFieldInit	1	5	0	0
0x0200012E	rail.RailInGamePurchaseFinishOrderResponse	Public, BeforeFieldInit	1	1	0	0
0x0200012F	rail.RailInGamePurchasePurchaseProductsResponse	Public, BeforeFieldInit	1	2	0	0
0x02000130	rail.RailInGamePurchasePurchaseProductsToAssetsResponse	Public, BeforeFieldInit	1	2	0	0
0x02000131	rail.RailInGamePurchaseRequestAllProductsResponse	Public, BeforeFieldInit	1	1	0	0
0x02000132	rail.RailInGamePurchaseRequestAllPurchasableProductsResponse	Public, BeforeFieldInit	1	1	0	0
0x02000133	rail.RailPurchaseProductExtraInfo	Public, BeforeFieldInit	1	2	0	0
0x02000134	rail.RailPurchaseProductInfo	Public, BeforeFieldInit	1	10	0	0
0x02000135	rail.IRailInGameStorePurchaseHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	1	0	0	0
0x02000136	rail.RailInGameStorePurchasePayWindowClosed	Public, BeforeFieldInit	1	1	0	0
0x02000137	rail.RailInGameStorePurchasePayWindowDisplayed	Public, BeforeFieldInit	1	1	0	0
0x02000138	rail.RailInGameStorePurchaseResult	Public, BeforeFieldInit	1	1	0	0
0x02000139	rail.IRailLeaderboard	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	10	0	0	0
0x0200013A	rail.IRailLeaderboardEntries	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	6	0	0	0
0x0200013B	rail.IRailLeaderboardHelper	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
