assembly	type	method	token	native_address	linux_counterpart	managed_metadata_evidence	native_evidence	status	confidence	notes	completed_commit
StardewValley	StardewValley.Mobile.AStarNode	set_parentNode	0x06006625	0x101fa771c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006625__SDV_StardewValley_Mobile_AStarNode_set_parentNode_06006625.c	verified	high	Reference store at +0x10 plus Mono GC write barrier.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_x	0x06006626	0x101fa775c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006626__SDV_StardewValley_Mobile_AStarNode_get_x_06006626.c	verified	high	Direct int backing-field load at +0x34.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	set_x	0x06006627	0x101fa7780	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006627__SDV_StardewValley_Mobile_AStarNode_set_x_06006627.c	verified	high	Direct int backing-field store at +0x34.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_y	0x06006628	0x101fa77a4	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006628__SDV_StardewValley_Mobile_AStarNode_get_y_06006628.c	verified	high	Direct int backing-field load at +0x38.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	set_y	0x06006629	0x101fa77c8	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006629__SDV_StardewValley_Mobile_AStarNode_set_y_06006629.c	verified	high	Direct int backing-field store at +0x38.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	.ctor	0x0600662A	0x101fa77ec	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600662a__SDV_StardewValley_Mobile_AStarNode_ctor_0600662a.c	verified	high	Sets both bubble IDs to -1, stores graph reference, x, and y.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_rectangle	0x0600662B	0x101fa7838	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600662b__SDV_StardewValley_Mobile_AStarNode_get_rectangle_0600662b.c	verified	high	Returns Rectangle(x<<6, y<<6, 64, 64).	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_NeighbouringNodeList	0x0600662F	0x101fa8320	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600662f__SDV_StardewValley_Mobile_AStarNode_get_NeighbouringNodeList_0600662f.c	verified	high	Delegates to GetNeighbouringNodeList(true).	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_OccupiedNeighbouringNodeList	0x06006630	0x101fa835c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006630__SDV_StardewValley_Mobile_AStarNode_get_OccupiedNeighbouringNodeList_06006630.c	verified	high	Delegates to GetNeighbouringNodeList(false).	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_NodeCenterOnMap	0x06006631	0x101fa8398	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006631__SDV_StardewValley_Mobile_AStarNode_get_NodeCenterOnMap_06006631.c	verified	high	Returns Vector2((x<<6)+32f, (y<<6)+32f); confirmed in ARM64 s0/s1 lanes.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_FakeTileClear	0x06006633	0x101fa8450	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006633__SDV_StardewValley_Mobile_AStarNode_get_FakeTileClear_06006633.c	verified	high	Direct bool load of _fakeTileClear at +0x45.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	set_FakeTileClear	0x06006634	0x101fa8474	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006634__SDV_StardewValley_Mobile_AStarNode_set_FakeTileClear_06006634.c	verified	high	Direct bool store of _fakeTileClear at +0x45.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	GetBoundingBox	0x06006632	0x101fa83dc	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006632__SDV_StardewValley_Mobile_AStarNode_GetBoundingBox_06006632.c	verified	high	Returns Rectangle(x<<6, y<<6, 64, 64), matching rectangle/rect aliases.	a61cf67b52dbe551419ce69f9c0b3cc75c4b06a6
StardewValley	StardewValley.Mobile.AStarNode	isFence	0x0600663D	0x101fa9008	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600663d__SDV_StardewValley_Mobile_AStarNode_isFence_0600663d.c	verified	high	Tile lookup through OverlaidDictionary; true iff object exists and is Fence.	13f9ec78a04195a5e6b05db7c4f7d619f468aec5
StardewValley	StardewValley.Mobile.AStarNode	isGate	0x0600663E	0x101fa9140	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600663e__SDV_StardewValley_Mobile_AStarNode_isGate_0600663e.c	verified	high	Fence with isGate.Value true and isSoloGate false; native calls Fence.get_isSoloGate.	13f9ec78a04195a5e6b05db7c4f7d619f468aec5
StardewValley	StardewValley.Mobile.AStarNode	isGateOpen	0x0600663F	0x101fa9294	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600663f__SDV_StardewValley_Mobile_AStarNode_isGateOpen_0600663f.c	verified	high	Non-solo gate whose gatePosition.Value equals 0x58 / Fence.gateOpenedPosition (88).	13f9ec78a04195a5e6b05db7c4f7d619f468aec5
StardewValley	StardewValley.Mobile.AStarNode	FetchObject	0x06006640	0x101fa943c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006640__SDV_StardewValley_Mobile_AStarNode_FetchObject_06006640.c	verified	high	Returns gameLocation.objects[new Vector2(x,y)] when ContainsKey succeeds; otherwise null.	13f9ec78a04195a5e6b05db7c4f7d619f468aec5
StardewValley	StardewValley.Mobile.AStarNode	ContainsGate	0x06006658	0x101fad69c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006658__SDV_StardewValley_Mobile_AStarNode_ContainsGate_06006658.c	verified	high	Fence with isGate.Value true; unlike isGate(), does not exclude isSoloGate.	13f9ec78a04195a5e6b05db7c4f7d619f468aec5
StardewValley	StardewValley.Mobile.AStarNode	FetchGate	0x0600665A	0x101fad934	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600665a__SDV_StardewValley_Mobile_AStarNode_FetchGate_0600665a.c	verified	high	Returns tile Fence when isGate.Value true; otherwise null; no isSoloGate exclusion.	13f9ec78a04195a5e6b05db7c4f7d619f468aec5
StardewValley	StardewValley.Mobile.AStarNode	get_fakeTileClear	0x0600665B	0x101fada8c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600665b__SDV_StardewValley_Mobile_AStarNode_get_fakeTileClear_0600665b.c	verified	high	Lowercase alias directly returns _fakeTileClear at +0x45.	a61cf67b52dbe551419ce69f9c0b3cc75c4b06a6
StardewValley	StardewValley.Mobile.AStarNode	get_rect	0x0600665C	0x101fadab0	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600665c__SDV_StardewValley_Mobile_AStarNode_get_rect_0600665c.c	verified	high	Lowercase alias returns Rectangle(x<<6, y<<6, 64, 64).	a61cf67b52dbe551419ce69f9c0b3cc75c4b06a6
