token	declaring_type	field	attributes
0x04000076	Ionic.Zlib.InflateBlocks	blens	Assembly
0x04000077	Ionic.Zlib.InflateBlocks	bb	Assembly
0x04000078	Ionic.Zlib.InflateBlocks	tb	Assembly
0x04000079	Ionic.Zlib.InflateBlocks	codes	Assembly
0x0400007A	Ionic.Zlib.InflateBlocks	last	Assembly
0x0400007B	Ionic.Zlib.InflateBlocks	_codec	Assembly
0x0400007C	Ionic.Zlib.InflateBlocks	bitk	Assembly
0x0400007D	Ionic.Zlib.InflateBlocks	bitb	Assembly
0x0400007E	Ionic.Zlib.InflateBlocks	hufts	Assembly
0x0400007F	Ionic.Zlib.InflateBlocks	window	Assembly
0x04000080	Ionic.Zlib.InflateBlocks	end	Assembly
0x04000081	Ionic.Zlib.InflateBlocks	readAt	Assembly
0x04000082	Ionic.Zlib.InflateBlocks	writeAt	Assembly
0x04000083	Ionic.Zlib.InflateBlocks	checkfn	Assembly
0x04000084	Ionic.Zlib.InflateBlocks	check	Assembly
0x04000085	Ionic.Zlib.InflateBlocks	inftree	Assembly
0x04000086	Ionic.Zlib.InternalInflateConstants	InflateMask	Assembly, Static, InitOnly
0x04000087	Ionic.Zlib.InflateCodes	START	Private, Static, Literal, HasDefault
0x04000088	Ionic.Zlib.InflateCodes	LEN	Private, Static, Literal, HasDefault
0x04000089	Ionic.Zlib.InflateCodes	LENEXT	Private, Static, Literal, HasDefault
0x0400008A	Ionic.Zlib.InflateCodes	DIST	Private, Static, Literal, HasDefault
0x0400008B	Ionic.Zlib.InflateCodes	DISTEXT	Private, Static, Literal, HasDefault
0x0400008C	Ionic.Zlib.InflateCodes	COPY	Private, Static, Literal, HasDefault
0x0400008D	Ionic.Zlib.InflateCodes	LIT	Private, Static, Literal, HasDefault
0x0400008E	Ionic.Zlib.InflateCodes	WASH	Private, Static, Literal, HasDefault
0x0400008F	Ionic.Zlib.InflateCodes	END	Private, Static, Literal, HasDefault
0x04000090	Ionic.Zlib.InflateCodes	BADCODE	Private, Static, Literal, HasDefault
0x04000091	Ionic.Zlib.InflateCodes	mode	Assembly
0x04000092	Ionic.Zlib.InflateCodes	len	Assembly
0x04000093	Ionic.Zlib.InflateCodes	tree	Assembly
0x04000094	Ionic.Zlib.InflateCodes	tree_index	Assembly
0x04000095	Ionic.Zlib.InflateCodes	need	Assembly
0x04000096	Ionic.Zlib.InflateCodes	lit	Assembly
0x04000097	Ionic.Zlib.InflateCodes	bitsToGet	Assembly
0x04000098	Ionic.Zlib.InflateCodes	dist	Assembly
0x04000099	Ionic.Zlib.InflateCodes	lbits	Assembly
0x0400009A	Ionic.Zlib.InflateCodes	dbits	Assembly
0x0400009B	Ionic.Zlib.InflateCodes	ltree	Assembly
0x0400009C	Ionic.Zlib.InflateCodes	ltree_index	Assembly
0x0400009D	Ionic.Zlib.InflateCodes	dtree	Assembly
0x0400009E	Ionic.Zlib.InflateCodes	dtree_index	Assembly
0x0400009F	Ionic.Zlib.InflateManager	PRESET_DICT	Private, Static, Literal, HasDefault
0x040000A0	Ionic.Zlib.InflateManager	Z_DEFLATED	Private, Static, Literal, HasDefault
0x040000A1	Ionic.Zlib.InflateManager	mode	Private
0x040000A2	Ionic.Zlib.InflateManager	_codec	Assembly
0x040000A3	Ionic.Zlib.InflateManager	method	Assembly
0x040000A4	Ionic.Zlib.InflateManager	computedCheck	Assembly
0x040000A5	Ionic.Zlib.InflateManager	expectedCheck	Assembly
0x040000A6	Ionic.Zlib.InflateManager	marker	Assembly
0x040000A7	Ionic.Zlib.InflateManager	_handleRfc1950HeaderBytes	Private
0x040000A8	Ionic.Zlib.InflateManager	wbits	Assembly
0x040000A9	Ionic.Zlib.InflateManager	blocks	Assembly
0x040000AA	Ionic.Zlib.InflateManager	mark	Private, Static, InitOnly
0x040000AB	Ionic.Zlib.InfTree	MANY	Private, Static, Literal, HasDefault
0x040000AC	Ionic.Zlib.InfTree	Z_OK	Private, Static, Literal, HasDefault
0x040000AD	Ionic.Zlib.InfTree	Z_STREAM_END	Private, Static, Literal, HasDefault
0x040000AE	Ionic.Zlib.InfTree	Z_NEED_DICT	Private, Static, Literal, HasDefault
0x040000AF	Ionic.Zlib.InfTree	Z_ERRNO	Private, Static, Literal, HasDefault
0x040000B0	Ionic.Zlib.InfTree	Z_STREAM_ERROR	Private, Static, Literal, HasDefault
0x040000B1	Ionic.Zlib.InfTree	Z_DATA_ERROR	Private, Static, Literal, HasDefault
0x040000B2	Ionic.Zlib.InfTree	Z_MEM_ERROR	Private, Static, Literal, HasDefault
0x040000B3	Ionic.Zlib.InfTree	Z_BUF_ERROR	Private, Static, Literal, HasDefault
0x040000B4	Ionic.Zlib.InfTree	Z_VERSION_ERROR	Private, Static, Literal, HasDefault
0x040000B5	Ionic.Zlib.InfTree	fixed_bl	Assembly, Static, Literal, HasDefault
0x040000B6	Ionic.Zlib.InfTree	fixed_bd	Assembly, Static, Literal, HasDefault
0x040000B7	Ionic.Zlib.InfTree	fixed_tl	Assembly, Static, InitOnly
0x040000B8	Ionic.Zlib.InfTree	fixed_td	Assembly, Static, InitOnly
0x040000B9	Ionic.Zlib.InfTree	cplens	Assembly, Static, InitOnly
0x040000BA	Ionic.Zlib.InfTree	cplext	Assembly, Static, InitOnly
0x040000BB	Ionic.Zlib.InfTree	cpdist	Assembly, Static, InitOnly
0x040000BC	Ionic.Zlib.InfTree	cpdext	Assembly, Static, InitOnly
0x040000BD	Ionic.Zlib.InfTree	BMAX	Assembly, Static, Literal, HasDefault
0x040000BE	Ionic.Zlib.InfTree	hn	Assembly
0x040000BF	Ionic.Zlib.InfTree	v	Assembly
0x040000C0	Ionic.Zlib.InfTree	c	Assembly
0x040000C1	Ionic.Zlib.InfTree	r	Assembly
0x040000C2	Ionic.Zlib.InfTree	u	Assembly
0x040000C3	Ionic.Zlib.InfTree	x	Assembly
0x040000C4	Ionic.Zlib.Tree	HEAP_SIZE	Private, Static, InitOnly
0x040000C5	Ionic.Zlib.Tree	ExtraLengthBits	Assembly, Static, InitOnly
0x040000C6	Ionic.Zlib.Tree	ExtraDistanceBits	Assembly, Static, InitOnly
0x040000C7	Ionic.Zlib.Tree	extra_blbits	Assembly, Static, InitOnly
0x040000C8	Ionic.Zlib.Tree	bl_order	Assembly, Static, InitOnly
0x040000C9	Ionic.Zlib.Tree	Buf_size	Assembly, Static, Literal, HasDefault
0x040000CA	Ionic.Zlib.Tree	_dist_code	Private, Static, InitOnly
0x040000CB	Ionic.Zlib.Tree	LengthCode	Assembly, Static, InitOnly
0x040000CC	Ionic.Zlib.Tree	LengthBase	Assembly, Static, InitOnly
0x040000CD	Ionic.Zlib.Tree	DistanceBase	Assembly, Static, InitOnly
0x040000CE	Ionic.Zlib.Tree	dyn_tree	Assembly
0x040000CF	Ionic.Zlib.Tree	max_code	Assembly
0x040000D0	Ionic.Zlib.Tree	staticTree	Assembly
0x040000D1	Ionic.Zlib.FlushType	value__	Public, SpecialName, RTSpecialName
0x040000D2	Ionic.Zlib.FlushType	None	Public, Static, Literal, HasDefault
0x040000D3	Ionic.Zlib.FlushType	Partial	Public, Static, Literal, HasDefault
0x040000D4	Ionic.Zlib.FlushType	Sync	Public, Static, Literal, HasDefault
0x040000D5	Ionic.Zlib.FlushType	Full	Public, Static, Literal, HasDefault
0x040000D6	Ionic.Zlib.FlushType	Finish	Public, Static, Literal, HasDefault
0x040000D7	Ionic.Zlib.CompressionLevel	value__	Public, SpecialName, RTSpecialName
0x040000D8	Ionic.Zlib.CompressionLevel	None	Public, Static, Literal, HasDefault
0x040000D9	Ionic.Zlib.CompressionLevel	Level0	Public, Static, Literal, HasDefault
0x040000DA	Ionic.Zlib.CompressionLevel	BestSpeed	Public, Static, Literal, HasDefault
0x040000DB	Ionic.Zlib.CompressionLevel	Level1	Public, Static, Literal, HasDefault
0x040000DC	Ionic.Zlib.CompressionLevel	Level2	Public, Static, Literal, HasDefault
0x040000DD	Ionic.Zlib.CompressionLevel	Level3	Public, Static, Literal, HasDefault
0x040000DE	Ionic.Zlib.CompressionLevel	Level4	Public, Static, Literal, HasDefault
0x040000DF	Ionic.Zlib.CompressionLevel	Level5	Public, Static, Literal, HasDefault
0x040000E0	Ionic.Zlib.CompressionLevel	Default	Public, Static, Literal, HasDefault
0x040000E1	Ionic.Zlib.CompressionLevel	Level6	Public, Static, Literal, HasDefault
0x040000E2	Ionic.Zlib.CompressionLevel	Level7	Public, Static, Literal, HasDefault
0x040000E3	Ionic.Zlib.CompressionLevel	Level8	Public, Static, Literal, HasDefault
0x040000E4	Ionic.Zlib.CompressionLevel	BestCompression	Public, Static, Literal, HasDefault
0x040000E5	Ionic.Zlib.CompressionLevel	Level9	Public, Static, Literal, HasDefault
0x040000E6	Ionic.Zlib.CompressionStrategy	value__	Public, SpecialName, RTSpecialName
0x040000E7	Ionic.Zlib.CompressionStrategy	Default	Public, Static, Literal, HasDefault
0x040000E8	Ionic.Zlib.CompressionStrategy	Filtered	Public, Static, Literal, HasDefault
0x040000E9	Ionic.Zlib.CompressionStrategy	HuffmanOnly	Public, Static, Literal, HasDefault
0x040000EA	Ionic.Zlib.CompressionMode	value__	Public, SpecialName, RTSpecialName
0x040000EB	Ionic.Zlib.CompressionMode	Compress	Public, Static, Literal, HasDefault
0x040000EC	Ionic.Zlib.CompressionMode	Decompress	Public, Static, Literal, HasDefault
0x040000ED	Ionic.Zlib.InternalConstants	MAX_BITS	Assembly, Static, InitOnly
0x040000EE	Ionic.Zlib.InternalConstants	BL_CODES	Assembly, Static, InitOnly
0x040000EF	Ionic.Zlib.InternalConstants	D_CODES	Assembly, Static, InitOnly
0x040000F0	Ionic.Zlib.InternalConstants	LITERALS	Assembly, Static, InitOnly
0x040000F1	Ionic.Zlib.InternalConstants	LENGTH_CODES	Assembly, Static, InitOnly
0x040000F2	Ionic.Zlib.InternalConstants	L_CODES	Assembly, Static, InitOnly
0x040000F3	Ionic.Zlib.InternalConstants	MAX_BL_BITS	Assembly, Static, InitOnly
0x040000F4	Ionic.Zlib.InternalConstants	REP_3_6	Assembly, Static, InitOnly
0x040000F5	Ionic.Zlib.InternalConstants	REPZ_3_10	Assembly, Static, InitOnly
0x040000F6	Ionic.Zlib.InternalConstants	REPZ_11_138	Assembly, Static, InitOnly
0x040000F7	Ionic.Zlib.StaticTree	lengthAndLiteralsTreeCodes	Assembly, Static, InitOnly
0x040000F8	Ionic.Zlib.StaticTree	distTreeCodes	Assembly, Static, InitOnly
0x040000F9	Ionic.Zlib.StaticTree	Literals	Assembly, Static, InitOnly
0x040000FA	Ionic.Zlib.StaticTree	Distances	Assembly, Static, InitOnly
0x040000FB	Ionic.Zlib.StaticTree	BitLengths	Assembly, Static, InitOnly
0x040000FC	Ionic.Zlib.StaticTree	treeCodes	Assembly
0x040000FD	Ionic.Zlib.StaticTree	extraBits	Assembly
0x040000FE	Ionic.Zlib.StaticTree	extraBase	Assembly
0x040000FF	Ionic.Zlib.StaticTree	elems	Assembly
0x04000100	Ionic.Zlib.StaticTree	maxLength	Assembly
0x04000101	Ionic.Zlib.Adler	BASE	Private, Static, InitOnly
0x04000102	Ionic.Zlib.Adler	NMAX	Private, Static, InitOnly
0x04000103	Ionic.Zlib.ZlibStreamFlavor	value__	Public, SpecialName, RTSpecialName
0x04000104	Ionic.Zlib.ZlibStreamFlavor	ZLIB	Public, Static, Literal, HasDefault
0x04000105	Ionic.Zlib.ZlibStreamFlavor	DEFLATE	Public, Static, Literal, HasDefault
0x04000106	Ionic.Zlib.ZlibStreamFlavor	GZIP	Public, Static, Literal, HasDefault
0x04000107	Ionic.Zlib.ZlibBaseStream	_z	FamORAssem
0x04000108	Ionic.Zlib.ZlibBaseStream	_streamMode	FamORAssem
0x04000109	Ionic.Zlib.ZlibBaseStream	_flushMode	FamORAssem
0x0400010A	Ionic.Zlib.ZlibBaseStream	_flavor	FamORAssem
0x0400010B	Ionic.Zlib.ZlibBaseStream	_compressionMode	FamORAssem
0x0400010C	Ionic.Zlib.ZlibBaseStream	_level	FamORAssem
0x0400010D	Ionic.Zlib.ZlibBaseStream	_leaveOpen	FamORAssem
0x0400010E	Ionic.Zlib.ZlibBaseStream	_workingBuffer	FamORAssem
0x0400010F	Ionic.Zlib.ZlibBaseStream	_bufferSize	FamORAssem
0x04000110	Ionic.Zlib.ZlibBaseStream	_buf1	FamORAssem
0x04000111	Ionic.Zlib.ZlibBaseStream	_stream	FamORAssem
0x04000112	Ionic.Zlib.ZlibBaseStream	Strategy	FamORAssem
0x04000113	Ionic.Zlib.ZlibBaseStream	crc	Private
0x04000114	Ionic.Zlib.ZlibBaseStream	_GzipFileName	FamORAssem
0x04000115	Ionic.Zlib.ZlibBaseStream	_GzipComment	FamORAssem
0x04000116	Ionic.Zlib.ZlibBaseStream	_GzipMtime	FamORAssem
0x04000117	Ionic.Zlib.ZlibBaseStream	_gzipHeaderByteCount	FamORAssem
0x04000118	Ionic.Zlib.ZlibBaseStream	nomoreinput	Private
0x04000119	Ionic.Zlib.ZlibCodec	InputBuffer	Public
0x0400011A	Ionic.Zlib.ZlibCodec	NextIn	Public
0x0400011B	Ionic.Zlib.ZlibCodec	AvailableBytesIn	Public
0x0400011C	Ionic.Zlib.ZlibCodec	TotalBytesIn	Public
0x0400011D	Ionic.Zlib.ZlibCodec	OutputBuffer	Public
0x0400011E	Ionic.Zlib.ZlibCodec	NextOut	Public
0x0400011F	Ionic.Zlib.ZlibCodec	AvailableBytesOut	Public
0x04000120	Ionic.Zlib.ZlibCodec	TotalBytesOut	Public
0x04000121	Ionic.Zlib.ZlibCodec	Message	Public
0x04000122	Ionic.Zlib.ZlibCodec	dstate	Assembly
0x04000123	Ionic.Zlib.ZlibCodec	istate	Assembly
0x04000124	Ionic.Zlib.ZlibCodec	_Adler32	Assembly
0x04000125	Ionic.Zlib.ZlibCodec	CompressLevel	Public
0x04000126	Ionic.Zlib.ZlibCodec	WindowBits	Public
0x04000127	Ionic.Zlib.ZlibCodec	Strategy	Public
0x04000128	Ionic.Zlib.ZlibConstants	WindowBitsMax	Public, Static, Literal, HasDefault
0x04000129	Ionic.Zlib.ZlibConstants	WindowBitsDefault	Public, Static, Literal, HasDefault
0x0400012A	Ionic.Zlib.ZlibConstants	Z_OK	Public, Static, Literal, HasDefault
0x0400012B	Ionic.Zlib.ZlibConstants	Z_STREAM_END	Public, Static, Literal, HasDefault
0x0400012C	Ionic.Zlib.ZlibConstants	Z_NEED_DICT	Public, Static, Literal, HasDefault
0x0400012D	Ionic.Zlib.ZlibConstants	Z_STREAM_ERROR	Public, Static, Literal, HasDefault
0x0400012E	Ionic.Zlib.ZlibConstants	Z_DATA_ERROR	Public, Static, Literal, HasDefault
0x0400012F	Ionic.Zlib.ZlibConstants	Z_BUF_ERROR	Public, Static, Literal, HasDefault
0x04000130	Ionic.Zlib.ZlibConstants	WorkingBufferSizeDefault	Public, Static, Literal, HasDefault
0x04000131	Ionic.Zlib.ZlibConstants	WorkingBufferSizeMin	Public, Static, Literal, HasDefault
0x04000132	Ionic.Zlib.ZlibStream	_baseStream	Assembly
0x04000133	Ionic.Zlib.ZlibStream	_disposed	Private
0x04000134	Ionic.Crc.CRC32	dwPolynomial	Private
0x04000135	Ionic.Crc.CRC32	_TotalBytesRead	Private
0x04000136	Ionic.Crc.CRC32	reverseBits	Private
0x04000137	Ionic.Crc.CRC32	crc32Table	Private
0x04000138	Ionic.Crc.CRC32	BUFFER_SIZE	Private, Static, Literal, HasDefault
0x04000139	Ionic.Crc.CRC32	_register	Private
0x0400013A	Ionic.Crc.CrcCalculatorStream	UnsetLengthLimit	Private, Static, InitOnly
0x0400013B	Ionic.Crc.CrcCalculatorStream	_innerStream	Assembly
0x0400013C	Ionic.Crc.CrcCalculatorStream	_Crc32	Private
0x0400013D	Ionic.Crc.CrcCalculatorStream	_lengthLimit	Private
0x0400013E	Ionic.Crc.CrcCalculatorStream	_leaveOpen	Private
0x0400013F	Netcode.NetClock	netVersion	Public
0x04000140	Netcode.NetClock	LocalId	Public
0x04000141	Netcode.NetClock	InterpolationTicks	Public
0x04000142	Netcode.NetClock	blanks	Public
0x04000143	Netcode.AbstractNetSerializable	dirtyTick	Private
0x04000144	Netcode.AbstractNetSerializable	minNextDirtyTime	Private
0x04000145	Netcode.AbstractNetSerializable	ChangeVersion	Family
0x04000146	Netcode.AbstractNetSerializable	DeltaAggregateTicks	Public
0x04000147	Netcode.AbstractNetSerializable	needsTick	Private
0x04000148	Netcode.AbstractNetSerializable	childNeedsTick	Private
0x04000149	Netcode.AbstractNetSerializable	<Name>k__BackingField	Private
0x0400014A	Netcode.AbstractNetSerializable	<Root>k__BackingField	Private
0x0400014B	Netcode.AbstractNetSerializable	parent	Private
0x0400014C	Netcode.NetArray`2	appendPosition	Private
0x0400014D	Netcode.NetArray`2	elements	Private, InitOnly
0x0400014E	Netcode.NetArray`2	OnFieldCreate	Private
0x0400014F	Netcode.NetCollection`1	guids	Private
0x04000150	Netcode.NetCollection`1	list	Private
0x04000151	Netcode.NetCollection`1	elements	Private
0x04000152	Netcode.NetCollection`1	OnValueAdded	Private
0x04000153	Netcode.NetCollection`1	OnValueRemoved	Private
0x04000154	Netcode.NetDictionary`5	InterpolationWait	Public
0x04000155	Netcode.NetDictionary`5	dict	Private
0x04000156	Netcode.NetDictionary`5	dictReassigns	Private
0x04000157	Netcode.NetDictionary`5	outgoingChanges	Private
0x04000158	Netcode.NetDictionary`5	incomingChanges	Private
0x04000159	Netcode.NetDictionary`5	OnValueAdded	Private
0x0400015A	Netcode.NetDictionary`5	OnValueRemoved	Private
0x0400015B	Netcode.NetDictionary`5	OnValueTargetUpdated	Private
0x0400015C	Netcode.NetDictionary`5	OnConflictResolve	Private
0x0400015D	Netcode.NetEnum`1	xmlInitialized	Private
0x0400015E	Netcode.NetNullableEnum`1	xmlInitialized	Private
0x0400015F	Netcode.NetEvent0	onEvent	Private
0x04000160	Netcode.NetEvent0	Counter	Public, InitOnly
0x04000161	Netcode.NetEvent0	currentCount	Private
0x04000162	Netcode.AbstractNetEvent1`1	onEvent	Private
0x04000163	Netcode.AbstractNetEvent1`1	InterpolationWait	Public
0x04000164	Netcode.AbstractNetEvent1`1	outgoingEvents	Private
0x04000165	Netcode.AbstractNetEvent1`1	incomingEvents	Private
0x04000166	Netcode.NetFieldBase`2	fieldChangeEvent	Private
0x04000167	Netcode.NetFieldBase`2	fieldChangeVisibleEvent	Private
0x04000168	Netcode.NetFieldBase`2	_bools	Family
0x04000169	Netcode.NetFieldBase`2	interpolationStartTick	Family
0x0400016A	Netcode.NetFieldBase`2	value	Family
0x0400016B	Netcode.NetFieldBase`2	previousValue	Family
0x0400016C	Netcode.NetFieldBase`2	targetValue	Family
0x0400016D	Netcode.NetField`2	xmlInitialized	Private
0x0400016E	Netcode.NetIntDelta	networkValue	Private
0x0400016F	Netcode.NetIntDelta	DirtyThreshold	Public
0x04000170	Netcode.NetIntDelta	Minimum	Public
0x04000171	Netcode.NetIntDelta	Maximum	Public
0x04000172	Netcode.NetString	FilterStringEvent	Private
0x04000173	Netcode.NetVector2	AxisAlignedMovement	Public
0x04000174	Netcode.NetVector2	ExtrapolationSpeed	Public
