token	type	attributes	methods	fields	properties	nested
0x0200003C	Netcode.NetEvent1Field`2	Public, BeforeFieldInit	3	0	0	0
0x0200003D	Netcode.NetFieldBase`2	Public, Abstract, BeforeFieldInit	44	7	6	1
0x0200003E	Netcode.NetField`2	Public, Abstract, BeforeFieldInit	5	1	0	0
0x0200003F	Netcode.NetInt	Public, Sealed, BeforeFieldInit	8	0	0	0
0x02000040	Netcode.NetIntDelta	Public, Sealed, BeforeFieldInit	9	4	0	0
0x02000041	Netcode.NetLong	Public, Sealed, BeforeFieldInit	6	0	0	0
0x02000042	Netcode.NetByte	Public, Sealed, BeforeFieldInit	5	0	0	0
0x02000043	Netcode.NetBool	Public, Sealed, BeforeFieldInit	5	0	0	0
0x02000044	Netcode.NetRotation	Public, BeforeFieldInit	6	0	0	0
0x02000045	Netcode.NetFloat	Public, BeforeFieldInit	6	0	0	0
0x02000046	Netcode.NetDouble	Public, Sealed, BeforeFieldInit	6	0	0	0
0x02000047	Netcode.NetGuid	Public, Sealed, BeforeFieldInit	5	0	0	0
0x02000048	Netcode.NetString	Public, BeforeFieldInit	9	1	1	1
0x02000049	Netcode.NetVector2	Public, Sealed, BeforeFieldInit	15	7	2	0
0x0200004A	Netcode.NetPoint	Public, Sealed, BeforeFieldInit	11	0	2	0
0x0200004B	Netcode.NetRectangle	Public, Sealed, BeforeFieldInit	19	0	9	0
0x0200004C	Netcode.NetColor	Public, Sealed, BeforeFieldInit	15	0	4	0
0x0200004D	Netcode.NetFields	Public, BeforeFieldInit	17	4	2	0
0x0200004E	Netcode.NetHashSet`1	Public, Abstract, BeforeFieldInit	40	6	2	5
0x0200004F	Netcode.NetStringHashSet	Public, BeforeFieldInit	3	0	0	0
0x02000050	Netcode.NetIntHashSet	Public, BeforeFieldInit	3	0	0	0
0x02000051	Netcode.NetVector2HashSet	Public, BeforeFieldInit	3	0	0	0
0x02000052	Netcode.NetHelper	Abstract, Sealed, BeforeFieldInit	2	0	0	0
0x02000053	Netcode.NetList`2	Public, BeforeFieldInit	45	6	4	5
0x02000054	Netcode.NetObjectList`1	Public, BeforeFieldInit	3	0	0	0
0x02000055	Netcode.NetLongList	Public, Sealed, BeforeFieldInit	5	0	0	0
0x02000056	Netcode.NetIntList	Public, Sealed, BeforeFieldInit	5	0	0	0
0x02000057	Netcode.NetStringList	Public, Sealed, BeforeFieldInit	3	0	0	0
0x02000058	Netcode.NetObjectShrinkList`1	Public, BeforeFieldInit	30	1	3	1
0x02000059	Netcode.NetRefBase`2	Public, Abstract, BeforeFieldInit	23	4	0	4
0x0200005A	Netcode.NetExtendableRef`2	Public, BeforeFieldInit	10	0	0	0
0x0200005B	Netcode.NetRef`1	Public, BeforeFieldInit	2	0	0	0
0x0200005C	Netcode.NetRefTypes	Abstract, Sealed, BeforeFieldInit	7	1	0	0
0x0200005D	Netcode.NetRoot`1	Public, BeforeFieldInit	15	2	2	0
0x0200005E	Netcode.NetRootDictionary`2	Public, BeforeFieldInit	20	2	5	2
0x0200005F	Netcode.NetVersion	Public, SequentialLayout, Sealed, BeforeFieldInit	19	1	2	1
0x02000060	Netcode.SerializationFacade`1	Public, Abstract, BeforeFieldInit	6	0	0	0
0x02000061	Netcode.SerializationCollectionFacade`1	Public, Abstract, BeforeFieldInit	6	0	0	0
0x02000062	Netcode.Validation.NetFieldValidator	Public, Abstract, Sealed, BeforeFieldInit	3	0	0	0
0x02000063	Netcode.Validation.NetFieldValidatorEntry	Public, BeforeFieldInit	7	3	3	0
0x02000064	Netcode.Validation.NotImplicitNetFieldAttribute	Public, BeforeFieldInit	1	0	0	0
0x02000065	Netcode.Validation.NotNetFieldAttribute	Public, BeforeFieldInit	1	0	0	0
0x02000066	LWJGL.LZ4	Public, BeforeFieldInit	7	0	0	0
0x02000067	Force.DeepCloner.DeepClonerExtensions	Public, Abstract, Sealed	6	0	0	0
0x02000068	Force.DeepCloner.Helpers.ClonerToExprGenerator	Abstract, Sealed, BeforeFieldInit	9	0	0	1
0x02000069	Force.DeepCloner.Helpers.DeepClonerCache	Abstract, Sealed, BeforeFieldInit	7	5	0	5
0x0200006A	Force.DeepCloner.Helpers.DeepClonerExprGenerator	Abstract, Sealed, BeforeFieldInit	6	2	0	2
0x0200006B	Force.DeepCloner.Helpers.DeepClonerGenerator	Abstract, Sealed, BeforeFieldInit	12	0	0	2
0x0200006C	Force.DeepCloner.Helpers.DeepClonerSafeTypes	Abstract, Sealed	3	1	0	0
0x0200006D	Force.DeepCloner.Helpers.DeepCloneState	BeforeFieldInit	3	3	0	1
0x0200006E	Force.DeepCloner.Helpers.ReflectionHelper	Abstract, Sealed, BeforeFieldInit	17	0	0	1
0x0200006F	Force.DeepCloner.Helpers.ShallowClonerGenerator	Abstract, Sealed, BeforeFieldInit	1	0	0	0
0x02000070	Force.DeepCloner.Helpers.ShallowObjectCloner	Public, Abstract	6	2	0	1
0x02000071	ContentManifest.CHJsonParser	Public, BeforeFieldInit	2	0	0	0
0x02000072	ContentManifest.ContentHashParser	Public, BeforeFieldInit	2	0	0	0
0x02000073	ContentManifest.Internal.CHArray	BeforeFieldInit	3	2	0	0
0x02000074	ContentManifest.Internal.CHBoolean	BeforeFieldInit	2	1	0	0
0x02000075	ContentManifest.Internal.CHElement	BeforeFieldInit	2	1	0	0
0x02000076	ContentManifest.Internal.CHJson	BeforeFieldInit	2	1	0	0
0x02000077	ContentManifest.Internal.CHJsonParserContext	BeforeFieldInit	3	2	0	0
0x02000078	ContentManifest.Internal.CHNumber	BeforeFieldInit	5	2	0	0
0x02000079	ContentManifest.Internal.CHObject	BeforeFieldInit	2	1	0	0
0x0200007A	ContentManifest.Internal.CHParsable	ClassSemanticsMask, Abstract, BeforeFieldInit	1	0	0	0
0x0200007B	ContentManifest.Internal.CHString	BeforeFieldInit	3	1	0	0
0x0200007C	ContentManifest.Internal.CHValue	BeforeFieldInit	3	2	0	0
0x0200007D	ContentManifest.Internal.CHValueEnum	Sealed	0	8	0	0
0x0200007E	ContentManifest.Internal.CHValueUnion	ExplicitLayout, Sealed, BeforeFieldInit	0	6	0	0
0x0200007F	StardewValley.AnimatedSprite	Public, BeforeFieldInit	47	23	10	1
0x02000080	StardewValley.ArgUtility	Public, Abstract, Sealed, BeforeFieldInit	36	0	0	0
0x02000081	StardewValley.Background	Public, BeforeFieldInit	5	20	0	0
0x02000082	StardewValley.BatTemporarySprite	Public, BeforeFieldInit	3	4	0	0
0x02000083	StardewValley.Buff	Public, BeforeFieldInit	6	47	0	0
0x02000084	StardewValley.BuildingPainter	Public, BeforeFieldInit	4	1	0	0
0x02000085	StardewValley.BuildingPaintColor	Public, BeforeFieldInit	8	15	1	0
0x02000086	StardewValley.BundleGenerator	Public, BeforeFieldInit	5	3	0	0
0x02000087	StardewValley.ButtonCollection	Public, SequentialLayout, Sealed, BeforeFieldInit	4	2	1	1
0x02000088	StardewValley.Character	Public, BeforeFieldInit	121	93	25	0
0x02000089	StardewValley.ChatCommands	Public, Abstract, Sealed	7	2	1	4
0x0200008A	StardewValley.Chunk	Public, BeforeFieldInit	11	18	4	0
0x0200008B	StardewValley.CosmeticDebris	Public, BeforeFieldInit	3	18	0	0
0x0200008C	StardewValley.CraftingRecipe	Public, BeforeFieldInit	24	19	0	1
0x0200008D	StardewValley.Crop	Public, BeforeFieldInit	43	41	6	0
0x0200008E	StardewValley.ICue	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	17	0	8	0
0x0200008F	StardewValley.CueWrapper	Public, BeforeFieldInit	19	1	8	0
0x02000090	StardewValley.DummyCue	Public, BeforeFieldInit	19	0	8	0
0x02000091	StardewValley.DataLoader	Public, Abstract, Sealed, BeforeFieldInit	72	0	0	0
0x02000092	StardewValley.Debris	Public, BeforeFieldInit	41	51	8	1
0x02000093	StardewValley.DebugCommands	Public, Abstract, Sealed	4	2	0	3
0x02000094	StardewValley.DebugMetricsComponent	Public, BeforeFieldInit	7	17	1	0
0x02000095	StardewValley.DebugTimings	Public, BeforeFieldInit	8	7	0	0
0x02000096	StardewValley.DebugTools	Public, Abstract, Sealed, BeforeFieldInit	11	4	0	0
0x02000097	StardewValley.DelayedAction	Public, BeforeFieldInit	28	11	0	0
0x02000098	StardewValley.ReportHasRoomAnotherFarmDelegate	Public, Sealed	4	0	0	0
0x02000099	StardewValley.DesktopClipboard	Public, BeforeFieldInit	5	1	0	0
0x0200009A	StardewValley.Dialogue	Public, BeforeFieldInit	47	78	3	3
0x0200009B	StardewValley.DialogueLine	Public, BeforeFieldInit	2	2	1	0
0x0200009C	StardewValley.Event	Public, BeforeFieldInit	145	83	5	13
0x0200009D	StardewValley.Prop	Public, BeforeFieldInit	3	5	0	0
0x0200009E	StardewValley.NPCController	Public, BeforeFieldInit	7	9	3	1
0x0200009F	StardewValley.ICustomEventScript	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	3	0	0	0
0x020000A0	StardewValley.EventScript_GreenTea	BeforeFieldInit	6	25	0	1
0x020000A1	StardewValley.EventContext	Public, BeforeFieldInit	7	4	4	0
0x020000A2	StardewValley.FarmAnimal	Public, BeforeFieldInit	85	66	6	2
0x020000A3	StardewValley.Farmer	Public, BeforeFieldInit	417	319	69	11
0x020000A4	StardewValley.NetStringIntArrayDictionary	Public, BeforeFieldInit	6	0	0	0
0x020000A5	StardewValley.NetIntIntArrayDictionary	Public, BeforeFieldInit	6	0	0	0
0x020000A6	StardewValley.HairStyleMetadata	Public, BeforeFieldInit	1	6	0	0
0x020000A7	StardewValley.FarmerRenderer	Public, BeforeFieldInit	35	45	1	1
0x020000A8	StardewValley.FarmerSprite	Public, BeforeFieldInit	44	82	6	1
0x020000A9	StardewValley.ProposalType	Public, Sealed	0	5	0	0
0x020000AA	StardewValley.ProposalResponse	Public, Sealed	0	4	0	0
0x020000AB	StardewValley.Proposal	Public, BeforeFieldInit	2	9	1	0
0x020000AC	StardewValley.FarmerPair	Public, SequentialLayout, Sealed, BeforeFieldInit	6	2	0	0
0x020000AD	StardewValley.NetFarmerPairDictionary`2	Public, BeforeFieldInit	4	0	0	0
0x020000AE	StardewValley.FarmerTeam	Public, BeforeFieldInit	69	81	1	11
0x020000AF	StardewValley.FriendshipStatus	Public, Sealed	0	6	0	0
0x020000B0	StardewValley.Friendship	Public, BeforeFieldInit	34	12	15	0
0x020000B1	StardewValley.Game1	Public	514	495	72	41
0x020000B2	StardewValley.GameStateQuery	Public	13	6	0	3
0x020000B3	StardewValley.HouseRenovation	Public, BeforeFieldInit	41	12	7	4
0x020000B4	StardewValley.HUDMessage	Public, BeforeFieldInit	9	16	0	1
0x020000B5	StardewValley.IHaveModData	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	3	0	2	0
0x020000B6	StardewValley.InputState	Public, BeforeFieldInit	10	8	0	0
0x020000B7	StardewValley.ISalable	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	25	0	7	0
0x020000B8	StardewValley.IslandGemBird	Public, BeforeFieldInit	9	17	1	1
0x020000B9	StardewValley.Item	Public, Abstract, BeforeFieldInit	102	19	16	1
0x020000BA	StardewValley.ItemContextTagManager	Public, Abstract, Sealed, BeforeFieldInit	10	1	0	0
0x020000BB	StardewValley.ItemRegistry	Public, Abstract, Sealed, BeforeFieldInit	26	16	0	1
0x020000BC	StardewValley.ItemStockInformation	Public, BeforeFieldInit	1	9	0	0
0x020000BD	StardewValley.CharacterEventArgs	Public, BeforeFieldInit	6	2	5	0
0x020000BE	StardewValley.KeyEventArgs	Public, BeforeFieldInit	2	1	1	0
0x020000BF	StardewValley.CharEnteredHandler	Public, Sealed	4	0	0	0
0x020000C0	StardewValley.KeyEventHandler	Public, Sealed	4	0	0	0
0x020000C1	StardewValley.KeyboardInput	Public, Abstract, Sealed, BeforeFieldInit	12	15	0	1
0x020000C2	StardewValley.IKeyboardSubscriber	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	6	0	1	0
0x020000C3	StardewValley.KeyboardDispatcher	Public, BeforeFieldInit	12	8	1	0
0x020000C4	StardewValley.LightSource	Public, BeforeFieldInit	13	20	3	1
0x020000C5	StardewValley.LocalizedContentManager	Public, BeforeFieldInit	40	11	4	2
0x020000C6	StardewValley.InstanceStatics	Public, BeforeFieldInit	1	0	0	0
0x020000C7	StardewValley.InstancedStatic	Public, BeforeFieldInit	1	0	0	0
0x020000C8	StardewValley.NonInstancedStatic	Public, BeforeFieldInit	1	0	0	0
0x020000C9	StardewValley.LocalMultiplayer	Public, BeforeFieldInit	6	9	0	1
0x020000CA	StardewValley.InstanceGame	Public, BeforeFieldInit	22	1	9	0
0x020000CB	StardewValley.GameRunner	Public, BeforeFieldInit	25	11	0	3
0x020000CC	StardewValley.LocationRequest	Public, BeforeFieldInit	9	5	0	1
0x020000CD	StardewValley.IAnimalLocation	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	5	0	1	0
0x020000CE	StardewValley.AnimalHouse	Public, BeforeFieldInit	14	3	0	0
0x020000CF	StardewValley.CollisionMask	Public, Sealed	0	11	0	0
0x020000D0	StardewValley.Farm	Public, BeforeFieldInit	66	37	0	2
0x020000D1	StardewValley.GameLocation	Public, BeforeFieldInit	517	128	17	47
0x020000D2	StardewValley.InteriorDoor	Public, BeforeFieldInit	15	4	0	0
0x020000D3	StardewValley.InteriorDoorDictionary	Public, BeforeFieldInit	10	1	1	2
0x020000D4	StardewValley.LocationContexts	Public, Abstract, Sealed, BeforeFieldInit	3	3	2	0
0x020000D5	StardewValley.MovieInvitation	Public, BeforeFieldInit	8	4	4	0
0x020000D6	StardewValley.StartMovieEvent	Public, BeforeFieldInit	6	3	0	0
0x020000D7	StardewValley.MovieViewerLockEvent	Public, BeforeFieldInit	4	2	0	0
0x020000D8	StardewValley.Shed	Public, BeforeFieldInit	4	1	0	0
0x020000D9	StardewValley.SlimeHutch	Public, BeforeFieldInit	12	3	0	0
0x020000DA	StardewValley.TilePositionComparer	Public, BeforeFieldInit	3	0	0	0
0x020000DB	StardewValley.WaterTiles	Public, BeforeFieldInit	4	1	1	1
0x020000DC	StardewValley.MachineDataUtility	Public, Abstract, Sealed, BeforeFieldInit	12	1	0	3
0x020000DD	StardewValley.DisposableList`1	Public, SequentialLayout, Sealed, BeforeFieldInit	2	1	0	1
0x020000DE	StardewValley.MovieConcession	Public, BeforeFieldInit	31	2	9	0
0x020000DF	StardewValley.MultipleMutexRequest	Public, BeforeFieldInit	7	5	0	1
0x020000E0	StardewValley.LoggingBinaryWriter	Public, BeforeFieldInit	26	2	1	0
0x020000E1	StardewValley.Multiplayer	Public, BeforeFieldInit	110	59	2	9
0x020000E2	StardewValley.CachedMultiplayerMap	Public, BeforeFieldInit	1	4	0	0
0x020000E3	StardewValley.NetLogRecord	SequentialLayout, Sealed, BeforeFieldInit	0	3	0	0
0x020000E4	StardewValley.NetLogger	Public, BeforeFieldInit	7	4	2	0
0x020000E5	StardewValley.AbortNetSynchronizerException	Public, BeforeFieldInit	1	0	0	0
0x020000E6	StardewValley.NetSynchronizer	Public, Abstract, BeforeFieldInit	14	4	0	0
0x020000E7	StardewValley.NewDaySynchronizer	Public, BeforeFieldInit	16	2	0	0
0x020000E8	StardewValley.Noise	Public, BeforeFieldInit	9	1	0	0
0x020000E9	StardewValley.NoiseGenerator	Abstract, Sealed	15	5	5	0
0x020000EA	StardewValley.NPC	Public, BeforeFieldInit	228	151	26	10
0x020000EB	StardewValley.MarriageDialogueReference	Public, BeforeFieldInit	15	7	5	0
0x020000EC	StardewValley.NumberSprite	Public, BeforeFieldInit	6	5	0	0
0x020000ED	StardewValley.Fence	Public, BeforeFieldInit	37	27	0	0
0x020000EE	StardewValley.Object	Public, BeforeFieldInit	214	185	22	15
0x020000EF	StardewValley.Torch	Public, BeforeFieldInit	17	6	0	0
0x020000F0	StardewValley.InputButton	Public, SequentialLayout, Sealed, BeforeFieldInit	3	3	0	0
0x020000F1	StardewValley.ServerPrivacy	Public, Sealed	0	4	0	0
0x020000F2	StardewValley.Options	Public, BeforeFieldInit	46	157	8	2
0x020000F3	StardewValley.Preconditions	Public, BeforeFieldInit	55	0	0	0
0x020000F4	StardewValley.Program	Public, Abstract, Sealed, BeforeFieldInit	10	15	1	1
0x020000F5	StardewValley.PurchaseableKeyItem	Public, BeforeFieldInit	29	7	9	0
0x020000F6	StardewValley.RainDrop	Public, SequentialLayout, Sealed, BeforeFieldInit	1	3	0	0
0x020000F7	StardewValley.Response	Public, BeforeFieldInit	2	3	0	0
0x020000F8	StardewValley.NPCDialogueResponse	Public, BeforeFieldInit	2	3	0	0
0x020000F9	StardewValley.Rumble	Public, Abstract, Sealed, BeforeFieldInit	5	7	0	0
0x020000FA	StardewValley.SaveGame	Public, BeforeFieldInit	24	96	0	7
0x020000FB	StardewValley.SeaMonsterTemporarySprite	Public, BeforeFieldInit	3	1	0	0
0x020000FC	StardewValley.ChangeType	Public, Sealed	0	4	0	0
0x020000FD	StardewValley.SerializableDictionary`2	Public	17	3	0	2
0x020000FE	StardewValley.SerializableDictionaryWithCaseInsensitiveKeys`1	Public, BeforeFieldInit	2	0	0	0
0x020000FF	StardewValley.LegacyShims	Abstract, Sealed, BeforeFieldInit	4	0	0	0
0x02000100	StardewValley.ISittable	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	10	0	0	0
0x02000101	StardewValley.MapSeat	Public, BeforeFieldInit	17	14	1	1
0x02000102	StardewValley.ISoundBank	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	8	0	2	0
0x02000103	StardewValley.SoundBankWrapper	Public, BeforeFieldInit	10	2	2	0
0x02000104	StardewValley.DummySoundBank	Public, BeforeFieldInit	11	1	2	0
0x02000105	StardewValley.StackDrawType	Public, Sealed	0	5	0	0
0x02000106	StardewValley.StartupPreferences	Public, BeforeFieldInit	13	26	1	0
0x02000107	StardewValley.Stats	Public, BeforeFieldInit	126	50	47	0
0x02000108	StardewValley.StatsDictionary`1	Public, BeforeFieldInit	2	0	0	0
0x02000109	StardewValley.StringBuilderFormatEx	Public, Abstract, Sealed	31	4	0	0
0x0200010A	StardewValley.TemporaryAnimatedSprite	Public, BeforeFieldInit	46	99	4	1
0x0200010B	StardewValley.TemporaryAnimatedSpriteList	Public, BeforeFieldInit	16	1	3	0
0x0200010C	StardewValley.Tool	Public, Abstract, BeforeFieldInit	82	29	12	1
0x0200010D	StardewValley.Utility	Public, BeforeFieldInit	358	5	0	45
0x0200010E	StardewValley.Warp	Public, BeforeFieldInit	11	8	6	0
0x0200010F	StardewValley.WeatherDebris	Public, BeforeFieldInit	5	17	0	0
0x02000110	StardewValley.WorldDate	Public, BeforeFieldInit	34	7	10	0
0x02000111	StardewValley.WorldMaps.MapArea	Public, BeforeFieldInit	11	7	3	0
0x02000112	StardewValley.WorldMaps.MapAreaPosition	Public, BeforeFieldInit	11	6	3	0
0x02000113	StardewValley.WorldMaps.MapAreaPositionWithContext	Public, SequentialLayout, Sealed, BeforeFieldInit	7	3	3	0
0x02000114	StardewValley.WorldMaps.MapAreaTexture	Public, BeforeFieldInit	5	3	3	0
0x02000115	StardewValley.WorldMaps.MapAreaTooltip	Public, BeforeFieldInit	6	5	4	0
0x02000116	StardewValley.WorldMaps.MapRegion	Public, BeforeFieldInit	10	5	2	0
0x02000117	StardewValley.WorldMaps.WorldMapManager	Public, Abstract, Sealed	8	3	0	0
0x02000118	StardewValley.Util.BoundingBoxGroup	Public, BeforeFieldInit	8	1	0	1
0x02000119	StardewValley.Util.SaveablePair`2	Public, SequentialLayout, Sealed, BeforeFieldInit	3	2	2	0
0x0200011A	StardewValley.Util.SaveablePairExtensions	Public, Abstract, Sealed, BeforeFieldInit	2	0	0	0
0x0200011B	StardewValley.Util.DictionarySaver`2	Public, Abstract, Sealed, BeforeFieldInit	3	0	0	0
0x0200011C	StardewValley.Util.EventTest	Public, BeforeFieldInit	3	5	0	1
0x0200011D	StardewValley.Util.GuidHelper	Abstract, Sealed, BeforeFieldInit	1	0	0	0
0x0200011E	StardewValley.Util.ToolSpamInputSimulator	Public, BeforeFieldInit	2	1	0	0
0x0200011F	StardewValley.Util.LeftRightClickSpamInputSimulator	Public, BeforeFieldInit	2	1	0	0
0x02000120	StardewValley.Util.IInputSimulator	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	1	0	0	0
0x02000121	StardewValley.Util.ProfanityFilter	BeforeFieldInit	3	2	0	0
0x02000122	StardewValley.Util.StackTraceHelper	Public, BeforeFieldInit	7	1	2	0
0x02000123	StardewValley.Util.SynchronizedShopStock	Public, BeforeFieldInit	8	4	1	0
0x02000124	StardewValley.Triggers.CachedAction	Public, BeforeFieldInit	5	4	4	0
0x02000125	StardewValley.Triggers.CachedTriggerAction	Public, BeforeFieldInit	4	3	3	0
0x02000126	StardewValley.Triggers.TriggerActionManager	Public, Abstract, Sealed	16	10	0	2
0x02000127	StardewValley.Tools.Axe	Public, BeforeFieldInit	6	1	0	1
0x02000128	StardewValley.Tools.ErrorTool	Public, BeforeFieldInit	5	0	0	0
0x02000129	StardewValley.Tools.FishingRod	Public, BeforeFieldInit	57	70	1	5
0x0200012A	StardewValley.Tools.GenericTool	Public, BeforeFieldInit	2	0	0	0
0x0200012B	StardewValley.Tools.Hoe	Public, BeforeFieldInit	4	0	0	0
0x0200012C	StardewValley.Tools.Lantern	Public, BeforeFieldInit	4	7	0	0
0x0200012D	StardewValley.Tools.MeleeWeapon	Public, BeforeFieldInit	62	45	1	2
0x0200012E	StardewValley.Tools.MilkPail	Public, BeforeFieldInit	8	2	0	0
0x0200012F	StardewValley.Tools.Pan	Public, BeforeFieldInit	12	1	0	0
0x02000130	StardewValley.Tools.Pickaxe	Public, BeforeFieldInit	7	6	0	0
0x02000131	StardewValley.Tools.Raft	Public, BeforeFieldInit	5	0	0	0
0x02000132	StardewValley.Tools.Shears	Public, BeforeFieldInit	9	2	0	0
0x02000133	StardewValley.Tools.Slingshot	Public, BeforeFieldInit	32	14	1	0
0x02000134	StardewValley.Tools.Wand	Public, BeforeFieldInit	6	0	0	0
0x02000135	StardewValley.Tools.WateringCan	Public, BeforeFieldInit	16	4	2	0
0x02000136	StardewValley.TokenizableStrings.TokenParser	Public	10	7	0	1
0x02000137	StardewValley.TokenizableStrings.TokenParserDelegate	Public, Sealed	4	0	0	0
0x02000138	StardewValley.TokenizableStrings.TokenStringBuilder	Public, Abstract, Sealed, BeforeFieldInit	16	0	0	0
