token	declaring_type	method	rva	il_bytes	attributes	impl_attributes
0x06000019	System.Runtime.CompilerServices.NullableContextAttribute	.ctor	0x2509	14	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600001A	FrameRateCounter	.ctor	0x2518	52	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600001B	FrameRateCounter	LoadContent	0x254D	18	Family, Virtual, HideBySig	IL
0x0600001C	FrameRateCounter	UnloadContent	0x2560	12	Family, Virtual, HideBySig	IL
0x0600001D	FrameRateCounter	Update	0x2570	101	Public, Virtual, HideBySig	IL
0x0600001E	FrameRateCounter	Draw	0x25E4	168	Public, Virtual, HideBySig	IL
0x0600001F	DontLoadDefaultSetting	.ctor	0x2698	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000020	ObjToStr	Format	0x26A0	634	Public, Static, HideBySig	IL
0x06000021	ObjToStr	CompareToStringMembers	0x2944	20	Private, Static, HideBySig	IL
0x06000022	ObjToStr	.cctor	0x2959	21	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x06000023	Ionic.Zlib.DeflateManager	.ctor	0x2970	167	Assembly, HideBySig, SpecialName, RTSpecialName	IL
0x06000024	Ionic.Zlib.DeflateManager	_InitializeLazyMatch	0x2A24	113	Private, HideBySig	IL
0x06000025	Ionic.Zlib.DeflateManager	_InitializeTreeData	0x2AA4	127	Private, HideBySig	IL
0x06000026	Ionic.Zlib.DeflateManager	_InitializeBlocks	0x2B30	129	Assembly, HideBySig	IL
0x06000027	Ionic.Zlib.DeflateManager	pqdownheap	0x2BC0	125	Assembly, HideBySig	IL
0x06000028	Ionic.Zlib.DeflateManager	_IsSmaller	0x2C4C	36	Assembly, Static, HideBySig	IL
0x06000029	Ionic.Zlib.DeflateManager	scan_tree	0x2C7C	270	Assembly, HideBySig	IL
0x0600002A	Ionic.Zlib.DeflateManager	build_bl_tree	0x2D98	122	Assembly, HideBySig	IL
0x0600002B	Ionic.Zlib.DeflateManager	send_all_trees	0x2E20	102	Assembly, HideBySig	IL
0x0600002C	Ionic.Zlib.DeflateManager	send_tree	0x2E94	266	Assembly, HideBySig	IL
0x0600002D	Ionic.Zlib.DeflateManager	put_bytes	0x2FAA	35	Private, HideBySig	IL
0x0600002E	Ionic.Zlib.DeflateManager	send_code	0x2FD0	31	Assembly, HideBySig	IL
0x0600002F	Ionic.Zlib.DeflateManager	send_bits	0x2FFC	208	Assembly, HideBySig	IL
0x06000030	Ionic.Zlib.DeflateManager	_tr_align	0x30D8	102	Assembly, HideBySig	IL
0x06000031	Ionic.Zlib.DeflateManager	_tr_tally	0x314C	342	Assembly, HideBySig	IL
0x06000032	Ionic.Zlib.DeflateManager	send_compressed_block	0x32B0	249	Assembly, HideBySig	IL
0x06000033	Ionic.Zlib.DeflateManager	set_data_type	0x33B8	109	Assembly, HideBySig	IL
0x06000034	Ionic.Zlib.DeflateManager	bi_flush	0x3434	159	Assembly, HideBySig	IL
0x06000035	Ionic.Zlib.DeflateManager	bi_windup	0x34E0	130	Assembly, HideBySig	IL
0x06000036	Ionic.Zlib.DeflateManager	copy_block	0x3570	141	Assembly, HideBySig	IL
0x06000037	Ionic.Zlib.DeflateManager	flush_block_only	0x3609	62	Assembly, HideBySig	IL
0x06000038	Ionic.Zlib.DeflateManager	DeflateNone	0x3648	258	Assembly, HideBySig	IL
0x06000039	Ionic.Zlib.DeflateManager	_tr_stored_block	0x3756	29	Assembly, HideBySig	IL
0x0600003A	Ionic.Zlib.DeflateManager	_tr_flush_block	0x3774	251	Assembly, HideBySig	IL
0x0600003B	Ionic.Zlib.DeflateManager	_fillWindow	0x387C	498	Private, HideBySig	IL
0x0600003C	Ionic.Zlib.DeflateManager	DeflateFast	0x3A7C	783	Assembly, HideBySig	IL
0x0600003D	Ionic.Zlib.DeflateManager	DeflateSlow	0x3D98	950	Assembly, HideBySig	IL
0x0600003E	Ionic.Zlib.DeflateManager	longest_match	0x415C	618	Assembly, HideBySig	IL
0x0600003F	Ionic.Zlib.DeflateManager	get_WantRfc1950HeaderBytes	0x43D2	7	Assembly, HideBySig, SpecialName	IL
0x06000040	Ionic.Zlib.DeflateManager	set_WantRfc1950HeaderBytes	0x43DA	8	Assembly, HideBySig, SpecialName	IL
0x06000041	Ionic.Zlib.DeflateManager	Initialize	0x43E3	11	Assembly, HideBySig	IL
0x06000042	Ionic.Zlib.DeflateManager	Initialize	0x43EF	16	Assembly, HideBySig	IL
0x06000043	Ionic.Zlib.DeflateManager	Initialize	0x4400	17	Assembly, HideBySig	IL
0x06000044	Ionic.Zlib.DeflateManager	Initialize	0x4414	333	Assembly, HideBySig	IL
0x06000045	Ionic.Zlib.DeflateManager	Reset	0x4570	126	Assembly, HideBySig	IL
0x06000046	Ionic.Zlib.DeflateManager	End	0x45FC	88	Assembly, HideBySig	IL
0x06000047	Ionic.Zlib.DeflateManager	SetDeflater	0x4660	88	Private, HideBySig	IL
0x06000048	Ionic.Zlib.DeflateManager	SetParams	0x46C4	92	Assembly, HideBySig	IL
0x06000049	Ionic.Zlib.DeflateManager	SetDictionary	0x472C	317	Assembly, HideBySig	IL
0x0600004A	Ionic.Zlib.DeflateManager	Deflate	0x4878	1069	Assembly, HideBySig	IL
0x0600004B	Ionic.Zlib.DeflateManager	.cctor	0x4CB4	245	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x0600004C	Ionic.Zlib.GZipStream	get_Comment	0x4DB5	7	Public, HideBySig, SpecialName	IL
0x0600004D	Ionic.Zlib.GZipStream	set_Comment	0x4DBD	27	Public, HideBySig, SpecialName	IL
0x0600004E	Ionic.Zlib.GZipStream	get_FileName	0x4DD9	7	Public, HideBySig, SpecialName	IL
0x0600004F	Ionic.Zlib.GZipStream	set_FileName	0x4DE4	147	Public, HideBySig, SpecialName	IL
0x06000050	Ionic.Zlib.GZipStream	get_Crc32	0x4E83	7	Public, HideBySig, SpecialName	IL
0x06000051	Ionic.Zlib.GZipStream	.ctor	0x4E8B	11	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000052	Ionic.Zlib.GZipStream	.ctor	0x4E97	11	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000053	Ionic.Zlib.GZipStream	.ctor	0x4EA3	11	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000054	Ionic.Zlib.GZipStream	.ctor	0x4EAF	28	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000055	Ionic.Zlib.GZipStream	get_FlushMode	0x4ECC	12	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x06000056	Ionic.Zlib.GZipStream	set_FlushMode	0x4ED9	32	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x06000057	Ionic.Zlib.GZipStream	get_BufferSize	0x4EFA	12	Public, HideBySig, SpecialName	IL
0x06000058	Ionic.Zlib.GZipStream	set_BufferSize	0x4F08	96	Public, HideBySig, SpecialName	IL
0x06000059	Ionic.Zlib.GZipStream	get_TotalIn	0x4F74	17	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x0600005A	Ionic.Zlib.GZipStream	get_TotalOut	0x4F86	17	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x0600005B	Ionic.Zlib.GZipStream	Dispose	0x4F98	65	Family, Virtual, HideBySig	IL
0x0600005C	Ionic.Zlib.GZipStream	get_CanRead	0x4FF8	36	Public, Virtual, HideBySig, SpecialName	IL
0x0600005D	Ionic.Zlib.GZipStream	get_CanSeek	0x501D	2	Public, Virtual, HideBySig, SpecialName	IL
0x0600005E	Ionic.Zlib.GZipStream	get_CanWrite	0x5020	36	Public, Virtual, HideBySig, SpecialName	IL
0x0600005F	Ionic.Zlib.GZipStream	Flush	0x5045	31	Public, Virtual, HideBySig	IL
0x06000060	Ionic.Zlib.GZipStream	get_Length	0x5065	6	Public, Virtual, HideBySig, SpecialName	IL
0x06000061	Ionic.Zlib.GZipStream	get_Position	0x506C	85	Public, Virtual, HideBySig, SpecialName	IL
0x06000062	Ionic.Zlib.GZipStream	set_Position	0x50CD	6	Public, Virtual, HideBySig, SpecialName	IL
0x06000063	Ionic.Zlib.GZipStream	Read	0x50D4	83	Public, Virtual, HideBySig	IL
0x06000064	Ionic.Zlib.GZipStream	Seek	0x5133	6	Public, Virtual, HideBySig	IL
0x06000065	Ionic.Zlib.GZipStream	SetLength	0x513A	6	Public, Virtual, HideBySig	IL
0x06000066	Ionic.Zlib.GZipStream	Write	0x5144	81	Public, Virtual, HideBySig	IL
0x06000067	Ionic.Zlib.GZipStream	EmitHeader	0x51A4	398	Private, HideBySig	IL
0x06000068	Ionic.Zlib.GZipStream	CompressString	0x5340	44	Public, Static, HideBySig	IL
0x06000069	Ionic.Zlib.GZipStream	CompressBuffer	0x5388	44	Public, Static, HideBySig	IL
0x0600006A	Ionic.Zlib.GZipStream	UncompressString	0x53D0	37	Public, Static, HideBySig	IL
0x0600006B	Ionic.Zlib.GZipStream	UncompressBuffer	0x5414	37	Public, Static, HideBySig	IL
0x0600006C	Ionic.Zlib.GZipStream	.cctor	0x5458	37	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x0600006D	Ionic.Zlib.InflateBlocks	.ctor	0x5480	116	Assembly, HideBySig, SpecialName, RTSpecialName	IL
0x0600006E	Ionic.Zlib.InflateBlocks	Reset	0x5500	81	Assembly, HideBySig	IL
0x0600006F	Ionic.Zlib.InflateBlocks	Process	0x5560	3929	Assembly, HideBySig	IL
0x06000070	Ionic.Zlib.InflateBlocks	Free	0x64C5	22	Assembly, HideBySig	IL
0x06000071	Ionic.Zlib.InflateBlocks	SetDictionary	0x64DC	32	Assembly, HideBySig	IL
0x06000072	Ionic.Zlib.InflateBlocks	SyncPoint	0x6508	10	Assembly, HideBySig	IL
0x06000073	Ionic.Zlib.InflateBlocks	Flush	0x6514	340	Assembly, HideBySig	IL
0x06000074	Ionic.Zlib.InflateBlocks	.cctor	0x6674	24	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x06000075	Ionic.Zlib.InternalInflateConstants	.cctor	0x668D	24	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x06000076	Ionic.Zlib.InflateCodes	.ctor	0x66A6	7	Assembly, HideBySig, SpecialName, RTSpecialName	IL
0x06000077	Ionic.Zlib.InflateCodes	Init	0x66AE	62	Assembly, HideBySig	IL
0x06000078	Ionic.Zlib.InflateCodes	Process	0x66F0	2733	Assembly, HideBySig	IL
0x06000079	Ionic.Zlib.InflateCodes	InflateFast	0x71AC	1615	Assembly, HideBySig	IL
0x0600007A	Ionic.Zlib.InflateManager	get_HandleRfc1950HeaderBytes	0x7807	7	Assembly, HideBySig, SpecialName	IL
0x0600007B	Ionic.Zlib.InflateManager	set_HandleRfc1950HeaderBytes	0x780F	8	Assembly, HideBySig, SpecialName	IL
0x0600007C	Ionic.Zlib.InflateManager	.ctor	0x7818	14	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600007D	Ionic.Zlib.InflateManager	.ctor	0x7827	21	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600007E	Ionic.Zlib.InflateManager	Reset	0x7840	71	Assembly, HideBySig	IL
0x0600007F	Ionic.Zlib.InflateManager	End	0x7893	28	Assembly, HideBySig	IL
0x06000080	Ionic.Zlib.InflateManager	Initialize	0x78B0	99	Assembly, HideBySig	IL
0x06000081	Ionic.Zlib.InflateManager	Inflate	0x7920	1760	Assembly, HideBySig	IL
0x06000082	Ionic.Zlib.InflateManager	SetDictionary	0x800C	130	Assembly, HideBySig	IL
0x06000083	Ionic.Zlib.InflateManager	Sync	0x809C	266	Assembly, HideBySig	IL
0x06000084	Ionic.Zlib.InflateManager	SyncPoint	0x81B2	12	Assembly, HideBySig	IL
0x06000085	Ionic.Zlib.InflateManager	.cctor	0x81BF	28	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x06000086	Ionic.Zlib.InfTree	huft_build	0x81DC	1064	Private, HideBySig	IL
0x06000087	Ionic.Zlib.InfTree	inflate_trees_bits	0x8610	94	Assembly, HideBySig	IL
0x06000088	Ionic.Zlib.InfTree	inflate_trees_dynamic	0x867C	245	Assembly, HideBySig	IL
0x06000089	Ionic.Zlib.InfTree	inflate_trees_fixed	0x877D	27	Assembly, Static, HideBySig	IL
0x0600008A	Ionic.Zlib.InfTree	initWorkArea	0x879C	190	Private, HideBySig	IL
0x0600008B	Ionic.Zlib.InfTree	.ctor	0x8866	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600008C	Ionic.Zlib.InfTree	.cctor	0x8870	142	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x0600008D	Ionic.Zlib.Tree	DistanceCode	0x890A	36	Assembly, Static, HideBySig	IL
0x0600008E	Ionic.Zlib.Tree	gen_bitlen	0x8930	531	Assembly, HideBySig	IL
0x0600008F	Ionic.Zlib.Tree	build_tree	0x8B50	563	Assembly, HideBySig	IL
0x06000090	Ionic.Zlib.Tree	gen_codes	0x8D90	105	Assembly, Static, HideBySig	IL
0x06000091	Ionic.Zlib.Tree	bi_reverse	0x8E08	30	Assembly, Static, HideBySig	IL
0x06000092	Ionic.Zlib.Tree	.ctor	0x8E32	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000093	Ionic.Zlib.Tree	.cctor	0x8E3C	205	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x06000094	Ionic.Zlib.ZlibException	.ctor	0x8F15	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000095	Ionic.Zlib.ZlibException	.ctor	0x8F1D	8	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000096	Ionic.Zlib.SharedUtils	URShift	0x8F26	7	Public, Static, HideBySig	IL
0x06000097	Ionic.Zlib.SharedUtils	ReadInput	0x8F30	53	Public, Static, HideBySig	IL
0x06000098	Ionic.Zlib.SharedUtils	ToByteArray	0x8F71	12	Assembly, Static, HideBySig	IL
0x06000099	Ionic.Zlib.SharedUtils	ToCharArray	0x8F7E	12	Assembly, Static, HideBySig	IL
0x0600009A	Ionic.Zlib.SharedUtils	.ctor	0x8F8B	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600009B	Ionic.Zlib.InternalConstants	.cctor	0x8F94	84	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x0600009C	Ionic.Zlib.StaticTree	.ctor	0x8FF4	44	Private, HideBySig, SpecialName, RTSpecialName	IL
0x0600009D	Ionic.Zlib.StaticTree	.cctor	0x9024	145	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x0600009E	Ionic.Zlib.Adler	Adler32	0x90C4	364	Public, Static, HideBySig	IL
0x0600009F	Ionic.Zlib.Adler	.ctor	0x923C	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000A0	Ionic.Zlib.Adler	.cctor	0x9244	21	Private, Static, HideBySig, SpecialName, RTSpecialName	IL
0x060000A1	Ionic.Zlib.ZlibBaseStream	get_Crc32	0x925A	22	Assembly, HideBySig, SpecialName	IL
0x060000A2	Ionic.Zlib.ZlibBaseStream	.ctor	0x9274	101	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000A3	Ionic.Zlib.ZlibBaseStream	get__wantCompress	0x92E5	10	FamORAssem, HideBySig, SpecialName	IL
0x060000A4	Ionic.Zlib.ZlibBaseStream	get_z	0x92F0	100	Private, HideBySig, SpecialName	IL
0x060000A5	Ionic.Zlib.ZlibBaseStream	get_workingBuffer	0x9360	32	Private, HideBySig, SpecialName	IL
0x060000A6	Ionic.Zlib.ZlibBaseStream	Write	0x9384	377	Public, Virtual, HideBySig	IL
0x060000A7	Ionic.Zlib.ZlibBaseStream	finish	0x950C	836	Private, HideBySig	IL
0x060000A8	Ionic.Zlib.ZlibBaseStream	end	0x985C	51	Private, HideBySig	IL
0x060000A9	Ionic.Zlib.ZlibBaseStream	Close	0x9890	52	Public, Virtual, HideBySig	IL
0x060000AA	Ionic.Zlib.ZlibBaseStream	Flush	0x98E0	12	Public, Virtual, HideBySig	IL
0x060000AB	Ionic.Zlib.ZlibBaseStream	Seek	0x98ED	6	Public, Virtual, HideBySig	IL
0x060000AC	Ionic.Zlib.ZlibBaseStream	SetLength	0x98F4	13	Public, Virtual, HideBySig	IL
0x060000AD	Ionic.Zlib.ZlibBaseStream	ReadZeroTerminatedString	0x9904	95	Private, HideBySig	IL
0x060000AE	Ionic.Zlib.ZlibBaseStream	_ReadAndValidateGzipHeader	0x9970	270	Private, HideBySig	IL
0x060000AF	Ionic.Zlib.ZlibBaseStream	Read	0x9A8C	658	Public, Virtual, HideBySig	IL
0x060000B0	Ionic.Zlib.ZlibBaseStream	get_CanRead	0x9D2A	12	Public, Virtual, HideBySig, SpecialName	IL
0x060000B1	Ionic.Zlib.ZlibBaseStream	get_CanSeek	0x9D37	12	Public, Virtual, HideBySig, SpecialName	IL
0x060000B2	Ionic.Zlib.ZlibBaseStream	get_CanWrite	0x9D44	12	Public, Virtual, HideBySig, SpecialName	IL
0x060000B3	Ionic.Zlib.ZlibBaseStream	get_Length	0x9D51	12	Public, Virtual, HideBySig, SpecialName	IL
0x060000B4	Ionic.Zlib.ZlibBaseStream	get_Position	0x9D5E	6	Public, Virtual, HideBySig, SpecialName	IL
0x060000B5	Ionic.Zlib.ZlibBaseStream	set_Position	0x9D65	6	Public, Virtual, HideBySig, SpecialName	IL
0x060000B6	Ionic.Zlib.ZlibBaseStream	CompressString	0x9D6C	38	Public, Static, HideBySig	IL
0x060000B7	Ionic.Zlib.ZlibBaseStream	CompressBuffer	0x9DB0	26	Public, Static, HideBySig	IL
0x060000B8	Ionic.Zlib.ZlibBaseStream	UncompressString	0x9DE8	104	Public, Static, HideBySig	IL
0x060000B9	Ionic.Zlib.ZlibBaseStream	UncompressBuffer	0x9E78	80	Public, Static, HideBySig	IL
0x060000BA	Ionic.Zlib.ZlibCodec	get_Adler32	0x9EF0	7	Public, HideBySig, SpecialName	IL
0x060000BB	Ionic.Zlib.ZlibCodec	.ctor	0x9EF8	22	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000BC	Ionic.Zlib.ZlibCodec	.ctor	0x9F10	78	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000BD	Ionic.Zlib.ZlibCodec	InitializeInflate	0x9F6A	13	Public, HideBySig	IL
0x060000BE	Ionic.Zlib.ZlibCodec	InitializeInflate	0x9F78	14	Public, HideBySig	IL
0x060000BF	Ionic.Zlib.ZlibCodec	InitializeInflate	0x9F87	16	Public, HideBySig	IL
0x060000C0	Ionic.Zlib.ZlibCodec	InitializeInflate	0x9F98	52	Public, HideBySig	IL
0x060000C1	Ionic.Zlib.ZlibCodec	Inflate	0x9FCD	32	Public, HideBySig	IL
0x060000C2	Ionic.Zlib.ZlibCodec	EndInflate	0x9FEE	38	Public, HideBySig	IL
0x060000C3	Ionic.Zlib.ZlibCodec	SyncInflate	0xA015	31	Public, HideBySig	IL
0x060000C4	Ionic.Zlib.ZlibCodec	InitializeDeflate	0xA035	8	Public, HideBySig	IL
0x060000C5	Ionic.Zlib.ZlibCodec	InitializeDeflate	0xA03E	15	Public, HideBySig	IL
0x060000C6	Ionic.Zlib.ZlibCodec	InitializeDeflate	0xA04E	15	Public, HideBySig	IL
0x060000C7	Ionic.Zlib.ZlibCodec	InitializeDeflate	0xA05E	22	Public, HideBySig	IL
0x060000C8	Ionic.Zlib.ZlibCodec	InitializeDeflate	0xA075	22	Public, HideBySig	IL
0x060000C9	Ionic.Zlib.ZlibCodec	_InternalInitializeDeflate	0xA08C	73	Private, HideBySig	IL
0x060000CA	Ionic.Zlib.ZlibCodec	Deflate	0xA0E1	32	Public, HideBySig	IL
0x060000CB	Ionic.Zlib.ZlibCodec	EndDeflate	0xA102	28	Public, HideBySig	IL
0x060000CC	Ionic.Zlib.ZlibCodec	ResetDeflate	0xA11F	31	Public, HideBySig	IL
0x060000CD	Ionic.Zlib.ZlibCodec	SetDeflateParams	0xA13F	33	Public, HideBySig	IL
0x060000CE	Ionic.Zlib.ZlibCodec	SetDictionary	0xA161	53	Public, HideBySig	IL
0x060000CF	Ionic.Zlib.ZlibCodec	flush_pending	0xA198	317	Assembly, HideBySig	IL
0x060000D0	Ionic.Zlib.ZlibCodec	read_buf	0xA2E4	126	Assembly, HideBySig	IL
0x060000D1	Ionic.Zlib.ZlibStream	.ctor	0xA36E	11	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000D2	Ionic.Zlib.ZlibStream	.ctor	0xA37A	11	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000D3	Ionic.Zlib.ZlibStream	.ctor	0xA386	11	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000D4	Ionic.Zlib.ZlibStream	.ctor	0xA392	28	Public, HideBySig, SpecialName, RTSpecialName	IL
0x060000D5	Ionic.Zlib.ZlibStream	get_FlushMode	0xA3AF	12	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x060000D6	Ionic.Zlib.ZlibStream	set_FlushMode	0xA3BC	32	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x060000D7	Ionic.Zlib.ZlibStream	get_BufferSize	0xA3DD	12	Public, HideBySig, SpecialName	IL
0x060000D8	Ionic.Zlib.ZlibStream	set_BufferSize	0xA3EC	96	Public, HideBySig, SpecialName	IL
0x060000D9	Ionic.Zlib.ZlibStream	get_TotalIn	0xA458	17	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x060000DA	Ionic.Zlib.ZlibStream	get_TotalOut	0xA46A	17	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	IL
0x060000DB	Ionic.Zlib.ZlibStream	Dispose	0xA47C	48	Family, Virtual, HideBySig	IL
0x060000DC	Ionic.Zlib.ZlibStream	get_CanRead	0xA4C8	36	Public, Virtual, HideBySig, SpecialName	IL
0x060000DD	Ionic.Zlib.ZlibStream	get_CanSeek	0xA4ED	2	Public, Virtual, HideBySig, SpecialName	IL
0x060000DE	Ionic.Zlib.ZlibStream	get_CanWrite	0xA4F0	36	Public, Virtual, HideBySig, SpecialName	IL
0x060000DF	Ionic.Zlib.ZlibStream	Flush	0xA515	31	Public, Virtual, HideBySig	IL
0x060000E0	Ionic.Zlib.ZlibStream	get_Length	0xA535	6	Public, Virtual, HideBySig, SpecialName	IL
0x060000E1	Ionic.Zlib.ZlibStream	get_Position	0xA53C	64	Public, Virtual, HideBySig, SpecialName	IL
0x060000E2	Ionic.Zlib.ZlibStream	set_Position	0xA588	6	Public, Virtual, HideBySig, SpecialName	IL
0x060000E3	Ionic.Zlib.ZlibStream	Read	0xA58F	34	Public, Virtual, HideBySig	IL
0x060000E4	Ionic.Zlib.ZlibStream	Seek	0xA5B2	6	Public, Virtual, HideBySig	IL
0x060000E5	Ionic.Zlib.ZlibStream	SetLength	0xA5B9	6	Public, Virtual, HideBySig	IL
0x060000E6	Ionic.Zlib.ZlibStream	Write	0xA5C0	34	Public, Virtual, HideBySig	IL
0x060000E7	Ionic.Zlib.ZlibStream	CompressString	0xA5E4	44	Public, Static, HideBySig	IL
0x060000E8	Ionic.Zlib.ZlibStream	CompressBuffer	0xA62C	44	Public, Static, HideBySig	IL
0x060000E9	Ionic.Zlib.ZlibStream	UncompressString	0xA674	37	Public, Static, HideBySig	IL
0x060000EA	Ionic.Zlib.ZlibStream	UncompressBuffer	0xA6B8	37	Public, Static, HideBySig	IL
0x060000EB	Ionic.Crc.CRC32	get_TotalBytesRead	0xA6FC	7	Public, HideBySig, SpecialName	IL
0x060000EC	Ionic.Crc.CRC32	get_Crc32Result	0xA704	8	Public, HideBySig, SpecialName	IL
0x060000ED	Ionic.Crc.CRC32	GetCrc32	0xA70D	9	Public, HideBySig	IL
0x060000EE	Ionic.Crc.CRC32	GetCrc32AndCopy	0xA718	136	Public, HideBySig	IL
0x060000EF	Ionic.Crc.CRC32	ComputeCrc32	0xA7AC	9	Public, HideBySig	IL
0x060000F0	Ionic.Crc.CRC32	_InternalComputeCrc32	0xA7B6	21	Assembly, HideBySig	IL
0x060000F1	Ionic.Crc.CRC32	SlurpBlock	0xA7CC	135	Public, HideBySig	IL
0x060000F2	Ionic.Crc.CRC32	UpdateCRC	0xA860	83	Public, HideBySig	IL
0x060000F3	Ionic.Crc.CRC32	UpdateCRC	0xA8C0	121	Public, HideBySig	IL
0x060000F4	Ionic.Crc.CRC32	ReverseBits	0xA948	94	Private, Static, HideBySig	IL
0x060000F5	Ionic.Crc.CRC32	ReverseBits	0xA9B4	38	Private, Static, HideBySig	IL
0x060000F6	Ionic.Crc.CRC32	GenerateLookupTable	0xA9E8	103	Private, HideBySig	IL
0x060000F7	Ionic.Crc.CRC32	gf2_matrix_times	0xAA5C	32	Private, HideBySig	IL
0x060000F8	Ionic.Crc.CRC32	gf2_matrix_square	0xAA88	27	Private, HideBySig	IL
0x060000F9	Ionic.Crc.CRC32	Combine	0xAAB0	171	Public, HideBySig	IL
0x060000FA	Ionic.Crc.CRC32	.ctor	0xAB67	8	Public, HideBySig, SpecialName, RTSpecialName	IL
